1,2,3,4,5,6,7,8,9
"[0.0956549371127339, 0.09579573331985794]","[[0.3859848860398513, -0.03650274153894256], [0.5613034441480618, 0.06134992989862206]]","[[0.315495050057846, 0.10724904305018564], [0.5180852452909619, 0.013799590611742229], [0.3819545826159732, -0.1334380777916547]]","[[0.1665887267295909, 0.08389582001604734], [0.4584359263982055, 0.26405512465689546], [0.4157764543415929, 0.03513878013061779], [0.2392225064082761, 0.29777239984320175]]","[[-0.08906257038347729, 0.3326351968500321], [0.2173987091792188, 0.026220721131276364], [0.07996259445097068, 0.4821024141609844], [0.14345365083950706, 0.2501481494916038], [-0.03323208063638199, 0.08804517681276208]]","[[0.2333794889108542, 0.5108688068097712], [0.17720399199515413, 0.06488002481085814], [0.3526024925964592, 0.16961020277143707], [0.1596713132306006, 0.321837067503818], [0.0007438407140586783, 0.18344495120876914], [0.42757463853404776, 0.37786691715169374]]","[[0.3032073476866497, 0.39528308644852606], [0.12977480624643314, 0.5338553612741447], [-0.07830532742558233, 0.5277294273979773], [0.000705909343175084, 0.04538848857330666], [-0.11442247498636825, 0.3203087976624053], [0.11424952152856681, 0.31372813630522095], [0.2743618672110132, 0.19233036806743029]]","[[-0.20800618360187478, -0.297823595680997], [0.0208603014005115, -0.46570844314230314], [-0.33947416747489917, -0.46414587466331364], [-0.2657502487478435, -0.0024929956194721667], [-0.07971030345085922, -0.1368829558420488], [0.12327021606192319, -0.12614842517591618], [-0.10944837079043952, 0.12795643756026515], [-0.4050023469846894, -0.16101207847090707]]","[[-0.1410632352740557, -0.317905811010377], [-0.01624442214728049, 0.1794094022286925], [0.09468404279643694, -0.24727132108451297], [-0.2758455249254349, -0.14491344886434532], [-0.07397021974914944, -0.09933967896750957], [-0.3580751224104431, 0.12641846535160695], [0.3672464474339042, -0.09947208873420914], [0.14679994141956812, -0.049441009882571184], [0.20049431506903384, 0.1443691092520585]]"
"[-0.30422713965878023, 0.0739284850406325]","[[0.2713647219188039, -0.029235290058335472], [0.46697437826705046, 0.014145112521712659]]","[[-0.1827482077423914, 0.13189758396693702], [0.006935645283384683, 0.04732296079382947], [-0.049709858873230685, 0.28599666368451326]]","[[-0.5133923796685119, -0.13567638448558317], [-0.3102378593599109, -0.17790160316510653], [-0.5338837235738882, 0.07316730980410076], [-0.255286731521037, 0.022123457211080083]]","[[0.4409169755572007, 0.017856988789309493], [0.10933872532765951, -0.20637645515835812], [0.27728831588229885, 0.198954967346464], [0.3100556643305453, -0.16532657838491105], [0.11148968869271939, 0.006469487304542018]]","[[-0.3622751979984162, 0.41275935807220604], [-0.5464806003183257, 0.06358334875023645], [-0.15518785678585886, 0.34969079698534317], [-0.3231370338359737, -0.02193421190541931], [-0.3473470749510941, 0.19885557425221048], [-0.12382976466594668, 0.04156566071734393]]","[[0.06935229908748385, 0.4911641494940837], [-0.19266199922505295, 0.07836852906048222], [0.055274369019684175, 0.020452523162812593], [0.26239471350362015, 0.1001529216481179], [-0.06036973858781391, 0.3360513952533211], [-0.2638544135394649, 0.29089327984911306], [0.14813816713374972, 0.28344041791591096]]","[[0.3129921899656287, 0.2226642157048143], [0.41298599633021416, -0.001766323215076977], [0.013785601627645026, 0.39275307090924344], [-0.009407606244017683, 0.02333367620517349], [0.20163499737495916, -0.08731087547331118], [0.31235423233837933, 0.42762820752661124], [0.10705959187470679, 0.21318577255187057], [-0.13233007013452783, 0.20605257250075132]]","[[0.02295687172906439, -0.4555612238154966], [0.343534432465795, -0.2595759245515751], [-0.16187815285083418, -0.09052449078383604], [0.11251247888811697, -0.27313237114007116], [0.30947849701411384, 0.04064216277921932], [0.06991680920562879, 0.010838090335221196], [-0.17538857600721916, -0.30040513178321704], [-0.11470383471809205, 0.10558329706542706], [-0.35883798189287325, -0.15372405551062507]]"
"[0.31457923939875737, -0.4122609730770665]","[[0.24818458179829028, -0.5230613829255512], [0.05315527151035717, -0.47711981276458415]]","[[0.16698284004709638, 0.14340522813657522], [0.014382160343152013, -0.0120418799203457], [0.17626274868444566, -0.13037823744598942]]","[[0.2541297109701026, -0.03410267595110144], [0.396116024817599, -0.19002287009394117], [0.4303711222235913, 0.2602585224666286], [0.4446461975978109, 0.027516111316963392]]","[[-0.15120343604734773, 0.13880483605515373], [-0.27543704003083597, 0.3074941448909677], [-0.47853302670601033, 0.30949922786165307], [-0.3682774975032249, -0.13900280599659498], [-0.34692227301900613, 0.0889564565184539]]","[[-0.36954580940820725, 0.05815165478813925], [-0.28534481837461456, -0.12375618373579561], [-0.26428406214372846, 0.28010711109252995], [-0.5657182147315603, -0.11096589427743007], [-0.1492704575467133, 0.06899119969773035], [-0.5584105255039638, 0.13196562846102936]]","[[-0.1639205104410485, 0.5375336320852997], [0.13665370749938832, 0.21910895384688228], [-0.33778978147358674, 0.04597826141406851], [-0.2268593015261854, 0.22000868921510455], [-0.39586497221419475, 0.3389169711393182], [-0.023188047053822363, 0.08417042442854547], [-0.025005414605345992, 0.38521147685537843]]","[[-0.258715538922871, 0.3828151050353194], [-0.4384035523576633, -0.18689856672911037], [-0.5586779833045601, 0.15056420889708766], [-0.1699372658897842, -0.04883432605429875], [-0.36053016753151684, 0.02858569738219561], [-0.199221799186684, 0.1876786431210615], [0.004458053620249285, 0.1240038339062716], [0.019420137312414813, -0.16023679021787893]]","[[-0.5242180236495622, 0.2097960018926228], [-0.2671382220306689, 0.3003190330968159], [-0.06183693718886379, 0.22592490829479475], [-0.2001015593906042, -0.14641750634996328], [-0.09246193223873551, 0.43765994221656135], [-0.29330373087767303, 0.05285487614136386], [0.007094383220706952, 0.008748553761596398], [0.1465325421295601, 0.294910430799518], [0.04425292235957525, -0.2230758375085622]]"
"[0.39967490259390637, -0.2576437183111264]","[[-0.22897676209827808, 0.468650264003531], [-0.0598036877009514, 0.5760211786176329]]","[[-0.32034981165049564, 0.18083778238314796], [-0.3344619052850136, -0.04022521570367012], [-0.13485517643248812, 0.10330846540140716]]","[[0.0004228548582206217, 0.4437421379736539], [0.24572762857664815, 0.2260868474052859], [0.007756854070108054, 0.1846819218217072], [0.22099789303306372, 0.4278063517398125]]","[[-0.17224806752104949, 0.21128771658676965], [-0.35983128753182364, -0.1328600505582573], [-0.33716814897054914, 0.09708697582185674], [-0.044562237693599294, -0.03778919281981133], [-0.17109626387405982, -0.21732524013947077]]","[[0.4249538099490167, -0.025354946498656116], [0.305005901383002, 0.397829445973664], [0.04954868862097969, 0.09819418046919175], [0.452299537631068, 0.2574679639516015], [0.21081936584905453, -0.08903757916275208], [0.27954488569289765, 0.14103100078867375]]","[[0.1318978468379982, 0.48780960721302624], [-0.15530952210580917, 0.2429536962773128], [0.21675324185561073, 0.09111206147250148], [0.13033099328542835, 0.28547066376201063], [0.3859901392997328, 0.20497483482614012], [0.014590257841440182, 0.0970646397970693], [0.1730960121663288, -0.1180805096677859]]","[[0.4107983822504989, -0.04783789354839145], [-0.06954892783911702, 0.20421019801840873], [0.19287329246680035, -0.23674413065931216], [-0.04658255687897442, -0.27568538913083557], [0.19478566210173015, -0.00965484605936359], [-0.04069516991009335, -0.04900998707948758], [0.17921022995035232, 0.2044367826380957], [-0.22871454517575843, 0.05025111546696341]]","[[0.21556792455118703, 0.37642033042102185], [0.14366510572844648, -0.18651452926789283], [0.49642287684820396, -0.0794158383055628], [-0.04770628609247857, -0.12519201939426747], [0.20310136493979325, 0.154094551714378], [-0.004065485174475974, 0.09100382633055243], [-0.018053901421587658, 0.34918523294118026], [0.29624623666919286, -0.053344657000752645], [-0.2018857737562037, 0.01971770186205045]]"
"[0.2830289625583117, -0.03026882548871228]","[[0.1652621768884792, -0.40183218801656556], [-0.03337249546828684, -0.4281924369736378]]","[[-0.5081709494874314, 0.1572673197774781], [-0.37009835501087307, 0.006965763417246156], [-0.5707172634768017, -0.07177594851347295]]","[[0.0015408600658227804, 0.35051751062746694], [-0.20674122870780898, 0.3211588031025307], [-0.08430622538187964, 0.13383917563087117], [0.1780252705082131, 0.19175915241248492]]","[[0.33660852042816714, -0.448935078303268], [0.16237328695183198, -0.028906365321866932], [0.003149504206933677, -0.1844463225559013], [0.4065340125681681, -0.22407981263326276], [0.20027486954239768, -0.2346061295568129]]","[[-0.362545063880459, -0.421860962952156], [-0.24010638466002518, -0.0327569241266412], [-0.22622339336134992, -0.23590116153186103], [-0.41823503972227205, -0.14060420183103206], [-0.028992295722001654, -0.1293578273409096], [-0.1459617666416116, -0.4591052827033254]]","[[-0.03978284138183809, -0.43963729991580147], [0.2770736023028816, -0.4460091285183096], [0.4264240077257641, -0.26124456405115876], [0.04351789842027954, -0.004572294527936195], [0.08491707485555088, -0.26540219852266356], [0.2274622265833728, -0.10044916879814345], [0.4232844185721205, -0.050742783717769746]]","[[-0.3290570048964025, 0.45712517183014534], [-0.12351728740192595, 0.19722326774196852], [-0.44617383739254307, -0.0315435053038489], [0.05824565693526591, 0.08769012542188236], [-0.4904255353169048, 0.31423420558286136], [-0.32491150822629034, 0.16696319418744587], [-0.12614658653380179, 0.4043789036591275], [0.10044097339982726, 0.3130264767685494]]","[[0.43694394638140777, -0.3313910020207278], [-0.12671083892604185, -0.2904925475365486], [0.20104083284362928, 0.10806727359081147], [0.1376754545064979, -0.09924520624161907], [0.19021248837847174, -0.31516489548878085], [0.3653456942078643, -0.09076399745187974], [0.1403131072824284, -0.5562242851951704], [-0.005445667935095978, 0.0898710966384087], [-0.11923067905189093, -0.07827803450029165]]"
"[-0.00037526000000685745, -0.027921386894572527]","[[0.510744558366804, -0.07965895932329134], [0.5183014925016622, -0.2796299572401246]]","[[-0.015545778166788895, 0.3668732894324268], [-0.08169376046335623, 0.5804400028356697], [-0.24536523618143577, 0.46292967544173164]]","[[0.06081986304483943, 0.35358512719402324], [0.4232304195196481, 0.14579533924648716], [0.12419639750553536, 0.133833625718984], [0.26609561976711055, 0.2970795792082364]]","[[-0.24811222937808852, -0.0926462173418487], [-0.0684102839715827, 0.053707960252323945], [-0.4199359189551936, 0.028595247832400618], [-0.4311232183625476, -0.17348815390478414], [-0.08153496032007611, -0.23043043025001772]]","[[-0.521575560759306, -0.09896409503936293], [-0.11005055439098525, 0.007412765662050641], [-0.2691644509192311, -0.32034241736757013], [-0.33082776037640693, 0.11579187391948328], [-0.031037041641207554, -0.21820435357846482], [-0.2943013415457968, -0.09543215727460275]]","[[-0.16635260996794698, 0.28084462036912], [-0.40218122969076125, -0.17991686156932815], [-0.0845402480451966, 0.09445086570213204], [-0.12722724135381816, -0.176029296145206], [-0.3668576348978093, 0.24153552923633032], [-0.5374975881789634, 0.10465170418994485], [-0.31219932221879926, 0.029177302383891702]]","[[-0.3265204970111284, 0.22652760434067618], [0.11129643684023392, 0.07926950251467085], [0.07893474341784651, 0.4315681374945237], [-0.2000017914838315, -0.08445279674287073], [-0.29956068591909263, 0.4664910923320479], [-0.09828291121522204, 0.1483319570086381], [0.07400994184747142, -0.11883630301138211], [-0.12650192453358844, 0.35264367728062257]]","[[-0.5586095828397086, -0.08452232608263664], [-0.5120381862419278, 0.15370428824398014], [-0.08562135647518901, 0.024493186907675612], [-0.3204263364507457, 0.2397592637991136], [-0.21279117965626912, -0.18999926927512983], [-0.34615304282718484, -0.002506468551820401], [-0.32642794983948487, 0.4412976810435594], [-0.12278716272436474, 0.3390467791696382], [0.05505897535061007, 0.17426903254619158]]"
"[0.4765699730395091, 0.34560502551113614]","[[0.09481659993656301, 0.43631713998557026], [0.0662189159667295, 0.23745101446818795]]","[[0.48628142840140876, 0.1515230430224543], [0.28796188866220057, 0.19625725416133796], [0.3371406364253883, -0.002661880310138811]]","[[-0.5372831058023291, 0.07679305146548565], [-0.47746952625478134, -0.11455356156484316], [-0.2888199447118168, 0.02804534169422597], [-0.3317661241759115, -0.2533775510137967]]","[[0.08548847697718086, 0.4135790235028826], [-0.012611048966726563, 0.22662400259503446], [0.27435170057987585, 0.4853016025774898], [-0.23063129862993442, 0.3109017384705433], [-0.11887524344887646, 0.49040580377695175]]","[[0.285926512064941, -0.24481785515673876], [0.418595730147314, -0.41068201076939437], [0.08023911914447063, -0.2907744195836184], [0.5255309086764915, -0.21900298349449057], [0.21619509519697316, -0.004828458463526469], [0.21043770887025895, -0.4594541383061854]]","[[0.020512593940644967, 0.06058225053891463], [-0.12457192929091994, 0.22210134043855223], [0.2267676360835929, 0.07227077176864677], [-0.19381219694833235, -0.14277017550647156], [0.096077147208419, -0.13886261858003718], [0.087393672000005, 0.26445259248386815], [-0.018663113410245565, 0.4344684582511623]]","[[-0.21605400050023119, -0.36806604112140096], [-0.4331556331222778, 0.1336594927324191], [-0.3157474098875971, -0.1371073420352747], [-0.10064365538588134, -0.10053754910436148], [0.10862445751928086, -0.04115753002163663], [-0.19663983546434133, 0.09424647547905109], [-0.5379272585723496, -0.06117038891009633], [0.023355790718173546, -0.2955553217846553]]","[[0.08964926938552661, 0.05394775442474662], [0.013667798857315082, 0.3651287039276397], [-0.3518235196438996, 0.4482863301015001], [0.0843039828244993, 0.5528122926054443], [-0.16049547673848438, 0.0730005648255046], [-0.2144141911430125, 0.27623828598157274], [0.3465547907671387, 0.0307758660088046], [-0.13596480001028877, 0.5242376261272882], [0.2304522598158348, 0.3521277948761275]]"
"[-0.4519365434524677, 0.22287683068434597]","[[-0.1809096912417549, 0.4542701565657042], [0.018526046348631375, 0.4698330185089162]]","[[-0.021384933427115945, -0.26055744462645497], [0.16478637362895734, -0.404980755917603], [-0.025077849445719256, -0.48190209473619267]]","[[0.17852470546651972, -0.2012438881607824], [-0.031034799765910746, -0.12466087783573923], [0.008996399474264666, -0.3229379719524122], [0.15114343287780646, 0.03986859122442722]]","[[0.10176071415026891, -0.0029310292721688898], [0.32748853803000494, -0.2831003617774451], [0.10999898603900501, -0.23076615641811304], [0.2383494361888625, 0.16403485824849598], [0.3558293804179042, -0.08171974316418079]]","[[-0.2715212558254698, 0.2586056842756752], [-0.41011716394998093, -0.23288273174477314], [-0.4259032553852052, 0.02963770343160952], [-0.037696467485790364, -0.07921729390734374], [-0.19058944014171011, 0.07565381115733183], [-0.22931220879523878, -0.14417898787482208]]","[[-0.4123410031792677, -0.32555807737620884], [-0.11281232420725038, -0.2658066965482441], [-0.16970574590124413, 0.10972852905085191], [-0.380148642061964, 0.19816541478521793], [-0.49975943015608576, -0.10400723965324657], [-0.30003386022098844, -0.09340949099572564], [-0.0679185705411078, -0.06780919729272472]]","[[0.1740819983727909, -0.16863019829442621], [0.14644114519141543, -0.4524198896657212], [0.0024885361438939093, 0.023531574910491997], [-0.23717340943857948, -0.31112918658627675], [-0.11311749148073028, -0.46867866316561874], [-0.17928248077090506, -0.060241557052319365], [-0.03957999532622772, -0.24759906754331504], [-0.4644327601918011, -0.3627803331480915]]","[[-0.05049485011715354, 0.3013521193238899], [0.15354596755057998, 0.36785015051376163], [0.22995749783639982, 0.07309138415424772], [0.13460311710395165, -0.18603378415368982], [0.33097739113381164, -0.13822260855557728], [-0.16464148731134703, 0.07190493829483618], [0.521154897315396, -0.007803673430992942], [0.02684304494395013, 0.0018704401699241912], [-0.15545279255173522, -0.15329938800760382]]"
"[0.1771264825789444, 0.012298414170669998]","[[0.5590929928249944, 0.05901985638302875], [0.5065513741473344, -0.13409141480534237]]","[[-0.17592395544936776, 0.40510565415719324], [-0.30566154612550034, 0.21848422264492345], [-0.39822260978708685, 0.43144058222919995]]","[[-0.24855901342904946, 0.4326179111294549], [-0.33066739519925503, 0.24314919490711104], [-0.015728317870896572, 0.5189617074191414], [-0.09686463175319387, 0.28200212383687606]]","[[-0.416197921377668, -0.28619329865683824], [-0.20866628843358032, -0.3460647126262422], [-0.5570429559765239, -0.05989317214741584], [-0.28028983240144106, -0.12146425093182346], [-0.3531870384577651, 0.07845006904085886]]","[[-0.36874454135919904, -0.07559312273534534], [-0.010504004432700158, -0.20559114413973084], [-0.17044584652251332, 0.17221059634863578], [-0.26251446752681207, -0.3074850979938877], [0.06633568674208327, -0.020893677029436595], [-0.1538914639536258, -0.02772778393149798]]","[[0.2037857981676222, -0.1815971672986122], [0.4890839798603071, 0.25295445478885614], [0.1294833597440532, 0.050421522491765555], [0.5249724357971474, 0.014331621614536631], [0.4084294087299191, -0.1546943519977724], [0.31356179590401956, 0.13415696527685209], [-0.016262925640377804, -0.1588315022511765]]","[[-0.4462313073918426, 0.10595449025715867], [0.022923871415176152, 0.06290918987699953], [-0.12461589820496316, 0.4830175517012745], [-0.29730306390741434, 0.2752084497958106], [-0.2195410516364439, 0.056871795648565045], [0.008916049516666445, 0.2907399105306955], [-0.08256048209355603, -0.11638226771844133], [-0.4106304257826301, -0.09222594144079917]]","[[0.34043128493099817, 0.2271075800100716], [0.2702764120171402, -0.10456749967376819], [-0.1274635928921129, -0.04210317806044915], [-0.03460273614387521, 0.1795356259369138], [0.14470969472881007, 0.3391925298523705], [0.06761060508642219, 0.0060094309834155335], [0.5117869412029185, -0.12050585585317111], [0.07404675892906432, -0.22660478390602867], [0.35723900661310204, -0.3185591288757]]"
"[-0.045934412585722416, -0.12236734128406912]","[[0.11825467712572878, -0.39617910972508336], [0.05459236086910312, -0.5860717982025758]]","[[-0.04083818552357515, -0.522177599776496], [0.2241586230204485, -0.5188142294055383], [0.09506152973916207, -0.364648334381489]]","[[0.3510671072586959, 0.39105757673094776], [0.13754249634966464, 0.24690230999823115], [0.2791454519284172, 0.028997379515453933], [0.42442503262497266, 0.18132357243737673]]","[[0.45108699871130137, 0.12052648913612102], [0.3120839015871755, -0.055344110322042436], [0.5361186937318446, -0.08608482415671545], [0.24926945818158194, 0.15209517992691748], [0.3855135356736719, -0.25840400127360613]]","[[-0.560843418842529, -0.11752527585456686], [-0.31277608783648175, 0.04003545118838376], [-0.18207900664359264, -0.3652956678781814], [-0.41442909117718774, -0.4038021739217259], [-0.14446849917993246, -0.07035639226176245], [-0.3420415871796019, -0.1631057353810994]]","[[0.27964692832129656, -0.15500474148311624], [0.48019533028943556, 0.09933774746227163], [0.08203545767143021, 0.28019381302663365], [0.05572057582720619, -0.1426303369841539], [0.31711281236335803, 0.2944831276535668], [-0.041479771322150735, 0.11885700406191958], [0.21045310206912196, 0.07075003364957701]]","[[-0.13214754069031825, -0.5402677255150703], [0.1288984478000013, -0.5519726475135984], [0.27401725229332, -0.34994268047279037], [-0.052680844420756816, 0.006786609240531098], [0.03557367748195712, -0.3699094958310016], [-0.23170140006741713, -0.18198058676873416], [-0.33504621301322857, -0.3611685350886627], [0.0760940577115827, -0.14857148175569432]]","[[-0.2844843713072754, 0.22325415166673976], [-0.1819235275981482, -0.2724209396165719], [-0.4663757242286994, 0.0951888680112534], [-0.002662519752874684, 0.12526046944360225], [-0.2804516333182533, -0.07461618094684651], [-0.06266188203573825, -0.10246171469469513], [0.05562179911838863, -0.3774952117829348], [-0.29777175193284133, -0.43797360937606633], [-0.44596842075831894, -0.24145786298940805]]"
"[-0.13294789447644317, -0.0050084293737640015]","[[0.1851205616289071, -0.3624876981064337], [0.3405923022038234, -0.23608025195482504]]","[[0.348550694073714, -0.26372109460002424], [0.5073713069625243, -0.14206826334288786], [0.3419709386041379, 0.005891602819957491]]","[[0.2472118047986834, -0.10298318101898082], [0.5832669122255578, -0.0503561045998346], [0.411076479450662, -0.2641061246578253], [0.42907679660555237, 0.09101913809416001]]","[[0.2947939438731228, -0.23060267152592065], [-0.16069394766121817, -0.3416383267983795], [0.17571447256805817, -0.04795497140357211], [-0.06398416024856234, -0.043165972544212804], [0.046845399773749824, -0.2436216536023896]]","[[0.500827999951601, -0.23304028533624072], [0.20916386845998064, 0.08030245107060778], [0.27809793757338463, -0.1905950399710685], [0.08327260932553728, -0.13599284299194644], [0.16768982653485215, -0.38480252821003114], [0.4174962964646186, 0.01069632702004041]]","[[0.21536278937261513, -0.01733091677764761], [-0.08931035591216824, -0.05246349631749078], [0.21870610454298933, 0.21067491250041093], [-0.1587576617113587, 0.26068369883413384], [0.04623079518225047, 0.4568527369480977], [0.022942391481424712, 0.13939122930077608], [-0.27674911739568203, 0.09730719745121558]]","[[0.12411109391386341, -0.5343823995123961], [-0.21238427398525783, -0.3197389486612228], [-0.06551876445787266, 0.032183079599910736], [0.22034046694826517, 0.05676208929132721], [0.31747551588691986, -0.13046885784073625], [0.01834943727978222, -0.34316474661021057], [0.10776215616131694, -0.12386070969881222], [-0.2386971922539417, -0.09256206635527232]]","[[0.019793807854907846, -0.43234396454466956], [-0.19026732246162045, -0.30921043426246514], [0.04019268118281429, 0.04496242893187172], [-0.3995051790572048, -0.35321755636659735], [-0.3855517065125252, -0.10705750392277943], [0.08372722599267078, -0.1679482296571974], [0.2622756688563642, -0.3928589043728353], [-0.14305193053609555, -0.047108980659819465], [-0.27076529918092873, 0.10825753519043561]]"
"[0.5163804524385218, 0.172353611070521]","[[-0.15489633838679245, 0.20775043904852977], [-0.02477214636975436, 0.05468251249351026]]","[[0.4290032298944087, 0.1407520187648592], [0.22848299553954127, 0.06362144779139585], [0.3595680574788582, -0.09433362503040832]]","[[-0.2516773625496151, -0.30151264897341506], [-0.16747001932966935, -0.11477707456203952], [0.007305472957725734, -0.4586877449884055], [0.017540980065453668, -0.20354321808263612]]","[[-0.28680504698685855, -0.37141287089520275], [-0.07941991320777259, -0.3100284666993168], [0.1333965094747872, -0.32231728701695306], [-0.16725551142864267, -0.07802884766317453], [0.04399369704041987, -0.09756099317031844]]","[[0.4536033237290603, -0.10703390074252807], [0.4090862681261178, 0.14156446515860444], [0.3446070222150913, -0.333203595144996], [0.1541486512624917, 0.13839280063469406], [0.16833114318264894, -0.23068973514796048], [0.2520001164899556, -0.04323865486760776]]","[[-0.23867826801906328, -0.4967507610264224], [-0.008572732368673055, -0.07934474412745643], [-0.2066881937132076, -0.2790710878612567], [0.21709551483580575, -0.47507177834902015], [0.2058411173229685, -0.17553172422760346], [-0.015438952742397984, -0.3568653319460787], [-0.011603255668745115, -0.5749057065343526]]","[[0.4359105889063985, -0.17362457700912998], [-0.10421753759268779, -0.0599030042764737], [0.3870326705858601, 0.24174009796940588], [0.2566713073165989, 0.014561377540278508], [0.2306797840234149, -0.3263374489921181], [0.47690301692068965, 0.04601699051563034], [0.08674944532705724, -0.15383855565976665], [0.03609124925759635, 0.09790267139194009]]","[[0.005765111513037631, -0.143111035787845], [-0.396275933094447, -0.3321437400526764], [0.037546025436095476, -0.5612590109297682], [-0.23561619682408028, -0.19372599185683617], [-0.24582953746203298, -0.47553838121684505], [-0.07047609790874906, -0.3562711323606942], [-0.09403038697424164, 0.06164574472317626], [0.13577280496850042, -0.3868547356250126], [0.15608206217807025, 0.06264253907795621]]"
"[-0.22364231775977078, 0.4637426405669522]","[[-0.15001882639889116, 0.48719053997247297], [-0.1736568080125972, 0.28835755901726084]]","[[0.11213305146232053, -0.07893917948794166], [0.05639720131197772, -0.2966044022377523], [-0.1031859716129837, -0.13437008874356654]]","[[-0.035956560563939345, -0.32709283091503677], [-0.2190429995428959, -0.2035699502326352], [-0.06992348234594314, -0.5664776463754845], [-0.220471277594294, -0.41208836036752056]]","[[-0.26965218803342234, -0.06061691990321757], [-0.44412238708790114, -0.1605793459593267], [-0.2738608688716076, -0.33598391440877745], [-0.06160694910013377, -0.19463283807086704], [-0.16469008497891707, 0.13324638745272324]]","[[-0.3078382271761739, 0.4361778186671046], [-0.059169983783578364, 0.44796520308269433], [-0.3209935464877752, 0.22545519901795916], [-0.10826469778565927, 0.24929594343002343], [-0.016554185736113114, 0.06783813438016018], [-0.29360476626160575, 0.00756342739423081]]","[[-0.15204905838880944, -0.5333107186751418], [-0.1519936835116667, -0.2986813487337615], [0.3123805602017952, -0.370842296180838], [-0.04397638837772695, -0.01669328424437847], [0.11716920447009348, -0.14912816843546053], [0.1067198166566748, -0.5553575834591685], [0.04038917577175449, -0.3541606866516689]]","[[0.2715518471235014, -0.4245138665073026], [0.03602391524707561, -0.40638782213015096], [0.4828297141312073, -0.09119901312376678], [0.02835794216237903, 0.028275321652194735], [-0.0895445032969687, -0.19822740391127236], [0.3178997883629752, 0.08245100984997318], [0.21920060966397442, -0.22342839817001514], [0.46807969757011175, -0.32427319705723295]]","[[0.5633060189111645, -0.020447411670609934], [0.24486306384976717, 0.44476630120442473], [0.18428866344346043, -0.051083701103786204], [0.30165572131442664, 0.2239114093385097], [-0.0017431279865323516, 0.11759053127645673], [0.36864926730470376, 0.029118730319846676], [0.08307425003498874, 0.31712463906399285], [0.26393370779995823, -0.24286541122091637], [0.5109425385251136, 0.2557989077594731]]"
"[0.19623115665255414, 0.1676894875529279]","[[0.500151128333041, 0.1656925720118866], [0.3771979967144504, 0.3235340638115745]]","[[-0.3391924794566746, 0.43027756448319565], [-0.33080415183405026, 0.2112686575961512], [-0.14277619127331137, 0.29962579604826906]]","[[-0.3884818304242726, 0.11421243679268873], [-0.11472928134965246, -0.13141119473891247], [-0.1657593024508462, 0.13368900033666462], [-0.36655717599886073, -0.10387254737714131]]","[[-0.20882687658313398, 0.05979685123170853], [0.07709165915785691, 0.33819008637117026], [0.02323578322535992, 0.12175330968231063], [0.02522363087913582, -0.08718927316059993], [-0.12152044988768049, 0.28453648995279207]]","[[-0.37443702985748106, 0.32648296684105377], [-0.5461381080049402, 0.20900463425646473], [-0.03667792491240075, 0.12745261621840673], [-0.13670974087354773, 0.4115775839407936], [-0.3800981804337871, 0.05314619565530939], [-0.23016292349935943, 0.18714801531232822]]","[[-0.0840690222646118, 0.326581156863932], [0.2873095043411744, 0.40733497502034743], [0.3312644566818162, -0.06338498518608723], [-0.0506181805300269, 0.10889297565070959], [0.1236891467835978, 0.25045991881734525], [0.122473450616654, -0.061936092255746894], [0.3019459967494134, 0.15241064997072415]]","[[-0.13470540342303577, 0.06408260861786476], [-0.32633744656496655, 0.15045505181492372], [-0.2908673593763413, -0.0762007135190446], [-0.5368971138264618, 0.18470905249118252], [0.055331558945424124, 0.1732254888039505], [-0.30909967543404826, 0.3845911877556102], [-0.0777863596696305, 0.41921053595603236], [0.03181857584637903, -0.08967320215721851]]","[[0.26246064217380705, -0.20881461689055444], [-0.05738061480455322, -0.2104867327221427], [-0.15279665209492657, -0.4570696492981838], [-0.25848085101471047, 0.03539482855188907], [0.05438928923437074, -0.041842351158073866], [-0.266438460152573, -0.22510974363943476], [-0.08630847597628627, 0.16925380219028288], [0.1378984379274782, 0.16880467564350782], [0.14927440204233722, -0.41110624343475755]]"
