"[-0.22722365129979927, -0.335689689043179]","[0.10777241568904661, -0.5039032503186092]","[0.23197789928124413, 0.08308242628771523]","[-0.21894512473968938, -0.08662686375868697]","[-0.1386288305952042, 0.2216384085261758]","[-0.023089648849026187, -0.3064209982465951]","[0.21802267646593132, -0.2564705941838279]","[0.039200797420527615, -0.06378656372056145]","[-0.13989377441501374, -0.5657836411173504]"
"[0.5341417831405023, -0.09578013695233674]","[-0.12602778167728987, -0.34566678436006837]","[0.4203935205196254, 0.1102721351099412]","[0.10064529926506652, 0.26983603120638233]","[0.22732089190105928, -0.030166722997871497]","[0.0026855532750624483, 0.09109994755433286]","[-0.10044488486297787, -0.1257201874555744]","[0.29233298815888753, -0.25761308490221396]","[0.09835042766042804, -0.36499145913875647]"
"[0.3368592682737492, 0.44570868102964156]","[-0.057552851773495554, 0.0332556150824588]","[0.3720985136632043, 0.1496723998833977]","[0.20954782623765175, -0.029138318866382795]","[0.021023004915502082, -0.15694617562078733]","[0.08629604316610116, 0.44402796211318507]","[-0.35023675172892316, 0.3906019193083647]","[-0.08142654295358615, 0.2749707417950722]","[0.15722341246369903, 0.2427592104668662]"
"[0.1851779185953387, 0.07673082850061279]","[0.07423240961777797, -0.5765274814881509]","[0.012345593447822035, -0.346901669251261]","[-0.4573872503873651, -0.08192972961082277]","[-0.21244034515006355, -0.10457421803431967]","[0.050159625212075225, -0.13859460735019516]","[-0.26485568943343385, 0.12076242277479195]","[-0.05254213062642286, 0.11197484096430513]","[-0.26987941880533606, -0.33725059225038223]"
"[0.21774522647779418, -0.05444604430243509]","[0.5338469666178477, -0.24060331224289408]","[0.0018102210885574037, -0.030149955212077657]","[0.21461867154594114, -0.5388603514839491]","[-0.20246896970250003, -0.2231579153921795]","[0.025275629220408144, -0.24950808809914266]","[0.3650106014294606, 0.0839984548629226]","[0.12504130411975684, 0.13172403482743672]","[0.012170906891678485, -0.5116435311207008]"
"[0.38743790795252425, 0.2673191785075567]","[0.3260450118719005, 0.06743436100057965]","[0.2537912285314133, -0.5252905524071576]","[0.49549909290533756, -0.29405048844434206]","[-0.10550151459488927, -0.040471773502830634]","[0.18573994980557104, -0.09789980510579928]","[0.5432918608739995, -0.021864702855862797]","[0.07142966598151783, -0.30728439459037654]","[0.28778909731393665, -0.31344607847993605]"
"[-0.3552634366905133, 0.1954160737234526]","[-0.06390109834787683, -0.33233552198919203]","[0.028406073358122407, 0.2569309069233025]","[-0.1500337412255034, -0.0008352064113180111]","[0.15415392299567138, -0.2999833315696193]","[-0.5225960774075318, -0.1749607586741987]","[0.2585015964675952, -0.0237390608637285]","[0.04412940509735204, -0.12683853761774097]","[-0.24771997685256641, -0.23098287715842414]"
"[-0.13780430122444237, 0.20015769046386514]","[0.23615506279209528, -0.36329908600027416]","[0.21164932867202169, 0.3765095411172138]","[0.4726201647437008, -0.14628436383229723]","[-0.04121516585291036, -0.3090123722824577]","[0.32643884239229676, 0.16273335740211475]","[-0.00935500831379505, -0.04697567078576625]","[0.25554730924987523, -0.1324393836824706]","[0.10997040782148237, 0.2035632136764773]"
"[0.027604394112949227, -0.5392003091001303]","[-0.04655998328590447, -0.091740902024581]","[-0.4190779524770476, -0.3047578941576859]","[-0.06763737569672021, 0.13755507245825785]","[-0.2900998043424725, -0.01761201634490503]","[0.2545901838496046, -0.22972048768700024]","[-0.2171472672624861, -0.24181681727346133]","[0.04126514548542972, -0.30659124721811865]","[-0.4436820449653922, 0.13338028789596895]"
"[0.305390575018138, 0.334712489772217]","[-0.17804281232609223, 0.09889278051354204]","[0.05318732914727166, 0.46049500277101374]","[-0.3237139921796094, -0.04712795814148751]","[-0.22162020795760204, 0.29727343729597727]","[-0.19321371469778217, 0.5029656073578921]","[0.11755246739532789, 0.2537034623247362]","[0.1398301426981849, -0.17453834546523112]","[0.10605455587624961, 0.05085777127881618]"
"[-0.007806269060081993, -0.0996558650775896]","[0.20031219543196502, 0.33733578925581004]","[0.07890743844256264, 0.11954572548926473]","[-0.3837978514796789, -0.08676158426806516]","[-0.16143802666452442, 0.07451552551870967]","[-0.49006042844975856, 0.17893498572162114]","[-0.3032517227804903, 0.419294212337394]","[0.05173976930801962, 0.5078001788591758]","[-0.03758054688715187, 0.2981433295940408]"
"[0.27678426968630593, 0.02799629266757532]","[-0.1487455895500119, -0.1735365472327379]","[0.15015171600685545, 0.18403760776287223]","[-0.0028225848166125358, 0.04863767750178147]","[-0.22371593413320154, 0.19232049883567606]","[-0.20320111679902156, 0.45455480432550044]","[0.13219371885247386, 0.3951954035320543]","[-0.4754445574388814, 0.12406716706089971]","[-0.3013696040131858, -0.017270019831619268]"
"[0.20008298888458545, -0.016657856903819022]","[-0.2939409616282108, -0.09511056935174117]","[-0.0985467981187637, -0.3037502258453909]","[0.1810111797000658, -0.2313971146178715]","[-0.19937712872666086, -0.5278811132421964]","[0.3790326656909729, -0.15774756485480312]","[0.0854354749669596, -0.4568378143827943]","[-0.015749312285507917, -0.05239623753242729]","[0.3540368051099931, -0.3688699894791479]"
"[0.11103683726781664, -0.2207250201825407]","[-0.3050545956996513, 0.009696054839528439]","[0.38094204402207604, -0.1342445234768033]","[-0.09200847479163102, -0.3724726059437991]","[-0.011882834392270414, 0.03161057268807228]","[-0.22386818680444617, 0.25284797928417513]","[0.27015735251312367, -0.35114742188079295]","[-0.13911739989044747, -0.12414949774124424]","[0.04614820699461021, 0.2605229840816004]"
"[-0.21984577299123018, 0.16945062464999106]","[0.32393503577910215, -0.21716263402658104]","[-0.1460948022527202, -0.05790491311495211]","[0.21338365947049265, 0.28127306207620334]","[0.5226104001779678, -0.08940318658860735]","[0.04263675714314302, -0.23485859197724746]","[-0.017188603298704346, 0.13370984243078185]","[0.18171857334923253, 0.07227009433396892]","[0.40821581699383813, 0.17073433778685396]"
"[-0.39530455015335897, 0.19959970734596305]","[0.03572146821256846, -0.23393214332238885]","[0.17102668766840487, -0.045650213644959026]","[0.22972052368352178, 0.46777286368876103]","[-0.2567819658602725, 0.034128101150925974]","[-0.29916501012846825, 0.4166223954233739]","[-0.05941944809450348, 0.13800449712448956]","[0.17126596837525046, 0.24057245956508908]","[-0.10283231084394277, 0.3770261160190668]"
"[0.5109657453985562, 0.16845478452705304]","[-0.08322080230479031, -0.14344347135285454]","[0.4229375228551616, -0.2950370125428688]","[-0.21808806089495486, 0.09671415979799823]","[0.1365943746116514, -0.03927423392778566]","[0.2919852668207948, 0.20493803055856835]","[0.11930121791742192, 0.3160652168688318]","[-0.0021829538996720158, 0.12305062730242956]","[0.38388129980991653, -0.028987044191353242]"
"[-0.36988181990609637, -0.10783033585005683]","[-0.1445032575069417, 0.3584134412263249]","[-0.5727459942526671, 0.08576943508552076]","[-0.3102140827464976, 0.11568662266172922]","[0.105898970285132, -0.2205646053801247]","[-0.2985251423938974, -0.39326096269039723]","[-0.1299683472573644, -0.2559877160630519]","[-0.1388262006677795, -0.016526793531728867]","[0.09894522030552877, -0.008889677942642187]"
"[0.017533751870499287, -0.3978330055422397]","[-0.2173700702734166, -0.0803849705273299]","[0.08482888510832162, -0.1795837774031036]","[-0.11971985321535451, -0.5475496830441202]","[0.25284145171790756, -0.4439767788666287]","[0.36408993900123054, 0.0729833650104412]","[-0.025342736587829703, -0.0018302269748499155]","[-0.28245142348254354, -0.28237904819989407]","[0.30340901228029266, -0.1266700208790628]"
"[0.35557912142390447, -0.21404151592163226]","[-0.25309904865755906, -0.24748490047343547]","[0.26390205597910354, 0.12364938760787066]","[0.09190456182431765, -0.5491539859513991]","[-0.11881498416011615, -0.4183136364755215]","[0.10878733088245893, -0.2951925834815823]","[-0.17006906354066653, -0.06113655964582224]","[-0.046883995466660444, 0.24930563894161445]","[0.11831220501210649, -0.08817345368295956]"
"[-0.25745099800499116, 0.47107010926840676]","[-0.4010354141690421, -0.0787637760190636]","[0.17530994235908556, 0.508531610698721]","[-0.11999410262553821, -0.013317595084323093]","[-0.5251774453729836, 0.09959862335374743]","[0.0927302032911225, 0.10447498035337376]","[-0.3630072578957997, 0.2985647182716215]","[-0.13066059452576545, 0.19341909446103964]","[-0.03422266461582997, 0.3862563854333409]"
"[0.21443521276409752, -0.26644937674350144]","[-0.201968177007577, -0.24679649271960974]","[-0.15325737860327765, 0.28649134283183514]","[-0.4133333618247117, -0.37512220396330137]","[-0.015212587578963972, -0.3875795042144859]","[-0.33541288011236864, -0.02717520677508033]","[0.1647696401680519, 0.0034446414104726286]","[0.03558699191776011, 0.1792519456109747]","[-0.08941518819659731, 0.005083944326010934]"
"[-0.21419885330855865, 0.14693833043657484]","[-0.41449873716704794, 0.3374520352057309]","[-0.3306556000758494, -0.28074115403385647]","[-0.05352422811509988, -0.1522941542812125]","[0.08864770447789064, 0.3305361231986113]","[0.012338914070319049, 0.10051981518133123]","[-0.4952211567112299, 0.14507825162648877]","[-0.530736565646699, -0.1918344963863143]","[-0.2398127672634772, -0.0745972486910786]"
"[-0.043546043281506616, 0.5097461910241261]","[0.4004802052578836, 0.27492682426499554]","[-0.17875711292122604, -0.1587586324946517]","[-0.22990545464760384, 0.28107954777287625]","[0.0276428976171771, -0.11905389040213302]","[0.061793768303434804, 0.11052617385394001]","[-0.45567430151013216, 0.27491206924632955]","[0.011691335695513392, 0.3074742973842737]","[-0.23556771688886005, 0.0789753123436182]"
"[0.31371916321854154, -0.07552255329167001]","[0.19508992887579127, -0.25769289161819775]","[0.5767571331560584, 0.07023769912580424]","[0.40784135688252005, 0.1787059345292193]","[0.4711881175312347, -0.24994610117858762]","[-0.0933490821325284, 0.09775496191742625]","[0.142061977391647, 0.16296626177944237]","[0.06182466076269526, -0.09619877460627714]","[0.17926313685325154, 0.43215022282990756]"
"[0.05070538574293557, -0.268710320105653]","[-0.22669753723570515, 0.24324974527332793]","[-0.17346509819711206, -0.44055801048095616]","[0.19278871665181138, 0.12511141978039156]","[-0.4680182431706523, -0.019847418711204087]","[-0.0474592566876757, -0.0003578271470525759]","[-0.3696956518699955, -0.22258191449346357]","[0.20076898123093942, -0.08048144218305667]","[-0.13342847749282225, -0.18671204840205616]"
"[0.022860965317394535, -0.5115387682888635]","[-0.1743794834542617, 0.13297944759780894]","[-0.4622868345286024, -0.09855442680036142]","[0.12686525313741162, -0.30009274210141534]","[-0.07769230764828913, -0.33320297667101106]","[0.10260167799498382, -0.029653412367629493]","[0.3760941528715172, -0.408460093523131]","[-0.27765998959667293, -0.2383347416757382]","[-0.12677062952815263, -0.07723516873370875]"
"[0.4466906365877504, -0.16337448471511287]","[-0.06890521708290528, 0.4921717674717315]","[0.2305917521372012, 0.01843230873650951]","[0.0075293938605150565, 0.0787628155956187]","[0.16296529834715254, 0.25478556292267324]","[0.4352609150953797, 0.17425444613534893]","[0.16076561328403785, -0.2947948383247003]","[-0.11190979521523749, 0.28534566517160775]","[-0.02597920885172398, -0.12027452724606043]"
"[-0.04173769443486761, 0.15294774362645527]","[-0.39041511483351776, -0.027742098237708235]","[0.15904345020173455, 0.09342746849809444]","[-0.010398515849316177, 0.5750345267601868]","[-0.07934636475409795, -0.052447593576880905]","[-0.06890863093337328, -0.2774477529562749]","[0.11686390380252759, -0.13175426102818644]","[-0.38133699049114766, 0.2813745526099684]","[-0.24515991540667295, 0.13000700958020264]"
"[-0.5046951888668566, -0.273572554654931]","[-0.09134936285154184, -0.30808592004849666]","[-0.16245791693138978, -0.08978358572442366]","[-0.19160600347200898, -0.4998546202469819]","[-0.10695633973539297, 0.17110298558700315]","[-0.49619821677265546, 0.16955189294564846]","[-0.3591844197208508, -0.1271366047093303]","[0.1332005413620391, 0.03232244998082885]","[-0.3031441040575838, -0.32574871389139876]"
"[-0.09769210327280772, -0.4052869715070848]","[-0.221793241419032, 0.058723093049241136]","[0.15723943801981793, 0.03894084244829232]","[-0.2724345531407393, -0.2582146779583995]","[-0.4138341384250917, -0.09601782602887453]","[-0.08335524089331023, -0.09011277739140479]","[-0.4768928290679166, -0.29527964789021105]","[-0.14705953063250476, 0.3314773044644733]","[-0.3945429610271102, 0.24380248947698538]"
"[0.06913779467269755, -0.16852947880476746]","[-0.18485745742585008, -0.11265562033226018]","[0.35379943967301675, -0.18409481841460115]","[0.5287292306930257, -0.06084374395400841]","[0.2711087449297001, -0.37104526669864274]","[0.09565881864333413, 0.2955255913720345]","[-0.09150429830757335, 0.20122283617289022]","[0.19381150304446607, -0.007447619389451216]","[0.2927007376966277, 0.19827868493981424]"
