"[0.5369933972370324, 0.0808880989930551]","[0.5701849970313021, -0.14985496705033002]","[0.300454642190644, 0.0999083808873046]","[0.3628148343958726, -0.12134348196953611]"
"[-0.13185410061272515, 0.51160664589901]","[-0.11352639267565365, 0.20773170900030216]","[-0.3141654734061062, 0.4019491804179126]","[-0.31604761894319444, 0.18707994278569537]"
"[0.4388831146475906, 0.17035741066222898]","[0.28304918433862725, 0.011271412279944269]","[0.21756907983561455, 0.21183974121345506]","[0.022403167512591728, 0.09018778796520784]"
"[0.060298332348167, 0.24372113460565145]","[0.11899441225667426, -0.10770371106200993]","[0.23666536218366552, 0.09950799652713603]","[-0.01444707937280879, 0.05723606561652682]"
"[-0.02986504927683084, 0.15234240573081348]","[0.011763800942694606, -0.10772474462279144]","[0.17156251835517555, -0.24698636948242103]","[0.14188538771528486, 0.04731640354893951]"
"[0.33205314408532394, 0.27520370651152243]","[0.3798432394320225, 0.047687931505308756]","[0.13082091380581246, 0.20036983971473768]","[0.11204380333571762, -0.038651941340271306]"
"[0.2991129451794738, 0.3223455969457648]","[0.15004740429079283, 0.14500282316360205]","[0.09434181065273345, 0.3841554114123566]","[-0.09260995801080714, 0.30989353618266163]"
"[-0.013626025222556697, -0.21729989490748136]","[-0.3663838844381774, -0.27565116137610757]","[-0.23262229843882243, -0.11791488267849792]","[-0.1457119899578848, -0.3955112998922044]"
"[-0.41220506271292634, 0.030069055665358276]","[-0.23699967180583079, -0.33933878735192624]","[-0.1542182342337173, -0.07796942843454557]","[-0.3619361747995382, -0.1715551926973361]"
"[-0.5303386155650642, 0.005488129223424366]","[-0.3008731455034059, 0.004291139799919271]","[-0.285748032312854, -0.22283009567619314]","[-0.4937261941593679, -0.2145463462240317]"
"[-0.2923961037299578, -0.25735297397987944]","[-0.29465376068697857, 0.06499451540067494]","[-0.5031579546830933, -0.2888919039170387]","[-0.41691111206628073, -0.09961405192793527]"
"[0.33387241325483413, 0.09210412062200005]","[0.3395498811748293, 0.4753163184464701]","[0.45026196874737495, 0.2815271483164757]","[0.20010203869826546, 0.32911550872434764]"
"[-0.40100377396421116, -0.13463098714774127]","[-0.35825361751359375, -0.4124936323194391]","[-0.15957489674021302, -0.29160337479226456]","[-0.18478460191346094, -0.06905518609203676]"
"[0.5508247500481617, 0.07931429616871379]","[0.4425904069048186, -0.2810465794902363]","[0.355165934514596, -0.01773908270653115]","[0.5704840022283025, -0.1213971794630523]"
"[0.3360200525576006, 0.3368143365359893]","[0.49165746373653835, 0.12872095062282038]","[0.2548157438744029, 0.12149427431399458]","[0.10271019495218432, 0.2519541481500664]"
"[0.5578468658963684, -0.02603355694376059]","[0.41298156570765765, -0.20488356576631717]","[0.17007009761821362, -0.07413018303899202]","[0.32712458961719176, 0.06306684730222353]"
"[0.01854627978394712, 0.36443168497893147]","[-0.35604626208491935, 0.22757401691736112]","[-0.28802570114131687, 0.42611034143785226]","[-0.15194521283754, 0.24480845666340004]"
"[-0.2844609368704301, -0.3795384006329272]","[-0.2760401988300263, 0.01388895882208551]","[-0.12601175529366257, -0.12387752939660551]","[-0.38609798652996224, -0.1816672359548568]"
"[-0.38191830177977415, 0.4386125117316503]","[-0.20474249929789895, 0.3088830877064204]","[-0.1092251681645421, 0.5010636902294315]","[0.005632181224124796, 0.29966498688245524]"
"[-0.4427542584177085, 0.14642427958652485]","[-0.4234115668500772, -0.0589522886936673]","[-0.19376633846980684, 0.28768506926173193]","[-0.21899880504162708, 0.021017078802488893]"
