"[0.12273904744218547, -0.11890189220568399]","[-0.3540481510817332, -0.4376703740701162]","[-0.5692875467545304, -0.10352200274554631]","[-0.16966834833012637, 0.030233123602114914]","[-0.01878184985383758, 0.16267694042336597]","[-0.1300929328008126, -0.4025725046997416]"
"[0.17614534862794765, 0.2870307350333455]","[0.1447481681865748, -0.10428707236622974]","[0.4822601196537512, -0.052486858139635176]","[-0.16490299702375275, -0.3344744382283789]","[0.08020899090080376, 0.09697792387940916]","[-0.3380786349883364, -0.03938071543708234]"
"[0.22858946852492362, -0.02097276492502664]","[-0.10853533212458379, -0.13061900693637132]","[0.20160268893447836, -0.5437208040926903]","[-0.029052090055956246, -0.4501888741700788]","[-0.3480007504188687, -0.22162445635741568]","[0.07582944784547767, -0.2237964015112595]"
"[-0.026305174542203925, -0.04448364892961943]","[-0.09430394107441034, 0.5555592665803939]","[0.12946928066610683, -0.2656540641728422]","[0.1384318107849407, 0.38181671101929493]","[-0.286598742843807, 0.25847348597772724]","[-0.028272141694051817, 0.2459961857234774]"
"[-0.016820193644062773, 0.2871623240622946]","[-0.0646288438134434, 0.48721233283770354]","[0.35585480627813193, 0.1730354859053048]","[0.0266369795948448, 0.06517379832167491]","[-0.3343613418889087, 0.24349129009008158]","[0.3375466170270711, 0.47258134962233506]"
"[-0.012295562144446102, 0.2681916042778989]","[0.2680454875391012, 0.36237293899838646]","[0.4613944526677916, -0.18755717121972337]","[0.0705920591975379, 0.4720244321142027]","[-0.21530603146702104, 0.2392041532989586]","[0.17345132653695655, -0.052989368717591405]"
"[0.3690278856748941, -0.3160467785083986]","[0.14066991435840356, -0.3946745872617501]","[-0.08298697427786426, -0.3524659498151878]","[-0.02750996189279499, -0.04467065912669614]","[0.3630795155057641, -0.09349364051204746]","[0.5523194790120445, 0.0022362591383479117]"
"[-0.14568563299027976, 0.2562227107386743]","[0.22260119142719217, 0.30507827361202433]","[0.16717880491089132, 0.5398065642807901]","[-0.1630705109592224, -0.014874962349353413]","[0.21610091441949597, 0.0628993690977583]","[0.3094906768566216, -0.13807724477017777]"
"[0.2789122944906172, -0.46838402846765476]","[0.3454305899521069, -0.2592391035472028]","[-0.3069456761862049, -0.08233046292571995]","[0.09914912556145018, -0.3337200586573317]","[-0.030126926355888234, -0.16603161327776692]","[0.05551016802666168, -0.5726776089109213]"
"[-0.42853811335148695, 0.36621836488379417]","[0.16294018075006636, 0.5014547994574748]","[0.06542172853350248, 0.27012592626191245]","[-0.09124704753084861, 0.4366304669916961]","[0.3076695093622014, 0.2342092776485711]","[-0.19739874061428356, 0.24061102337806894]"
"[0.04211396686514057, 0.520811554205419]","[0.34459537333002566, 0.21039138186351727]","[0.21428753648954146, 0.0007915096867928946]","[0.19378985543303678, -0.2541109576267491]","[-0.20270618617232555, 0.08700605795425288]","[0.09105685274560534, 0.22995403468110512]"
"[0.19996499284637984, 0.1467914976414556]","[0.041013667602994276, -0.18705209182699334]","[0.09621990306395434, -0.40445285368979966]","[-0.3723790486110864, -0.27381740128392745]","[-0.3495964280300172, -0.024888289428117737]","[-0.10007818519510976, 0.051119988939464664]"
"[-0.18426764350393085, 0.05488723278318373]","[-0.29403848680841915, -0.23445732187389623]","[0.23197058880155436, -0.4812133788664437]","[0.1091870989237865, 0.0015596803621992653]","[0.12652466693722825, -0.3082752595122394]","[0.1186790506466043, 0.2870396376898929]"
"[0.04152193389588809, 0.15881198335592903]","[-0.21116735450805468, -0.2693761416626583]","[-0.15286485505569558, -0.02190449842998178]","[-0.42750860183776856, -0.16682339222382225]","[-0.36466716415820843, 0.3171504218099857]","[0.05281411097860558, -0.195598245253909]"
"[-0.007999223430884246, 0.21821871117657976]","[-0.20982741609196295, -0.08872512320926787]","[0.0005823430612152308, 0.000687453141297638]","[0.21936200775349443, 0.10157775665978334]","[-0.21533606843636927, 0.33663940550929233]","[0.23830402481869872, -0.19248403859232183]"
"[0.2595926268106939, -0.3681743540823536]","[0.0640958684912104, -0.5862418064250282]","[0.41277531900868547, -0.20214207754648295]","[-0.0026707481136843806, -0.1703569656698407]","[-0.15204787273659257, -0.4439338175615981]","[-0.29455227420730895, -0.21181166576112373]"
"[0.18569219111958576, 0.013579734291762057]","[0.544933613761465, -0.08431698432231349]","[0.30190441915741506, -0.17534300495130076]","[0.24552377173806728, 0.2936381219107276]","[-0.1065334341457161, -0.042942817487080585]","[0.015238635682206654, 0.13978639990339375]"
"[0.1458096330621133, 0.5387609216019869]","[0.3366868421145382, 0.1343727235700957]","[0.13576073071328698, 0.2764540428021775]","[-0.21487022377817933, 0.5290422102990878]","[-0.4047684078772657, 0.2722373422973897]","[-0.0844157628734407, 0.3450920772730086]"
"[0.22219769731321679, -0.1523059727029089]","[-0.011932144831105156, -0.14381578888257207]","[0.27152257358493753, 0.11356964712119356]","[0.44171658478341314, 0.36964900954275326]","[-0.12840135237393235, 0.17833166887737822]","[0.11313842357923741, 0.23909686011295334]"
"[0.18173521897587458, -0.037817666035245875]","[-0.008590909207242283, 0.02982997596566807]","[-0.09786107042030431, 0.4225614575901752]","[-0.2620393273684154, -0.18418564577845434]","[0.3379058105519352, 0.2814761225465639]","[0.002895522118140977, -0.27332687685972046]"
"[0.47006705600583554, 0.018653982904148266]","[0.08312797491285785, -0.15442940314793258]","[0.34717324988203935, -0.4492150058529982]","[-0.011709509866973304, 0.19057245583802296]","[0.26963140108375017, 0.37531988486590007]","[0.29130439378298595, 0.15744226334005781]"
"[-0.24261588962007474, -0.30307526871278534]","[0.10434933974482072, -0.06131998139805619]","[-0.5145507434312634, 0.23674446003591812]","[-0.3076743157620337, 0.19089126132740378]","[0.01681335220771264, 0.22801440988942404]","[-0.33809762791091796, -0.11152400211793391]"
"[0.035315866322864514, -0.3575462886332068]","[0.042339445843821315, 0.19814633035792487]","[0.3856282604742396, -0.10444495878058875]","[0.48774269968710016, -0.29222475802881887]","[0.27728972369500426, -0.3808392714621563]","[0.30866117786378516, 0.18144998257639525]"
"[-0.30537626927479433, 0.48339715421247526]","[0.18018920606254799, 0.23071092988778555]","[-0.08534986328552949, 0.5346689848950545]","[-0.09619765074505446, 0.1737620697452319]","[0.3172070233690479, 0.04946072449721666]","[0.14111438460880293, 0.543549384802071]"
"[0.3992135120197475, 0.31810755782974537]","[0.16991064305158757, -0.5416576140428833]","[0.11816778566798229, 0.10197706529386423]","[0.33405749995235084, 0.038448814079810566]","[0.5354801060207078, -0.09354669163331321]","[0.11009637608461977, -0.11482424224155688]"
"[0.03347760751978396, 0.05667710476524383]","[-0.4951215093560416, 0.19093264607841506]","[-0.20380016015150623, -0.020891927063642915]","[0.08103418585683038, -0.3988274078154597]","[-0.0870576004788995, -0.28426860948291466]","[-0.38080028064201205, -0.19426255624176242]"
"[-0.05014144463204716, -0.21635764652261502]","[-0.20469231240642216, -0.3662605773070027]","[0.3725427396615217, 0.08196912222468758]","[0.28685992626460965, -0.1377091351317168]","[0.07574848539032376, -0.026492160978680943]","[0.4099918597082777, -0.35804450864019677]"
"[-0.4101358497465487, 0.11592875325891339]","[-0.008691907546681721, -0.3253809483755549]","[-0.28706178709111574, -0.1216345813607188]","[-0.24282724283949983, 0.2982591854368422]","[-0.5610616859699945, -0.1124577672440305]","[-0.11680232182422608, 0.055942335216120104]"
"[-0.004720050880194747, 0.019581507701232414]","[-0.26426661501976284, -0.2575644764805492]","[0.18919108605258225, -0.49170967668735754]","[-0.17016309687581402, -0.5232234596813726]","[0.020020127560616618, -0.299437123236686]","[-0.19930536945134225, 0.07790657446209012]"
"[-0.44041335040758195, -0.053797780746307824]","[-0.21839282189577566, 0.4673060539816581]","[0.12500253910697423, 0.2219006200105448]","[0.0001575791765126188, 0.42261296881835864]","[-0.23975927972637076, 0.12122116425466684]","[-0.38534339942800816, 0.3013690670051849]"
"[-0.05621813731908208, 0.10325265603962719]","[0.15485286880968704, -0.11987483779695676]","[0.41730840161292315, 0.06689446019019342]","[-0.0017629728043329846, -0.2525461062387864]","[-0.28421828408519545, -0.2660783173866586]","[0.4153441488998606, -0.16725857647476916]"
"[-0.4443184165908629, 0.06272947441856268]","[-0.18686975288798618, -0.09568505043005371]","[-0.07180230409022328, 0.07151140616976731]","[0.027760689447629435, 0.2605295077248035]","[-0.1307020490659412, -0.3440323711349336]","[-0.46621426187790904, -0.3446016188547475]"
"[-0.17831641745622756, 0.049659857621342854]","[0.2774301066525902, -0.32645129158737435]","[-0.2872890760714864, 0.22988031244570764]","[-0.4154980358589313, 0.0491295221198961]","[-0.30604739969632555, -0.23715073586478022]","[0.06845812633750654, 0.16409529933934683]"
"[0.5155379784234108, -0.2614593646805272]","[0.019071414072990494, 0.4658430981112477]","[0.4092309959101446, 0.18138599811068007]","[0.19119382906345908, -0.1776499229623297]","[0.3547003886802584, -0.02855236460137925]","[0.2078909477482097, 0.31462105629516796]"
"[-0.03563549319399148, 0.09951597101964785]","[-0.24246231655989023, -0.31178204695069267]","[0.04277097883978262, -0.2810206532664608]","[-0.08127581183548253, 0.3003450970182701]","[0.22521335976795737, -0.08803000069168894]","[-0.4778098528019486, -0.13286588681660674]"
"[0.10808372128548749, 0.07519987773413787]","[0.03530170200797559, -0.17523459308113115]","[-0.07899419506002184, 0.18851370065338538]","[-0.5082914961843961, 0.2125401947515495]","[-0.254325485078755, -0.0019753362137021283]","[-0.3018754923926769, 0.30587643787815816]"
"[-0.26708111771024606, -0.2113353587091535]","[-0.3156768051919196, 0.062327550661546396]","[-0.485402077904231, -0.14367681253086204]","[-0.485361522567876, 0.2689187500959204]","[-0.0799363603918526, -0.2965877537417846]","[-0.09876111707160017, 0.48056830742536377]"
"[-0.09144938981561164, 0.4738389119963226]","[-0.3406274413441844, -0.021167382581678953]","[-0.0577976492282638, -0.0475394464437067]","[-0.20893773509475447, -0.2249819248817651]","[-0.48577410258225856, 0.32282264446654213]","[0.2835575814128331, 0.11907865809848893]"
"[-0.14685926085036946, -0.12841504398009537]","[-0.4411527287844731, -0.11558546504764637]","[0.09598595389869201, -0.06739385704303093]","[0.012429550867144019, 0.11605020379864107]","[-0.31610427117072104, 0.21385192772805334]","[0.16637802131707954, 0.46167199690646427]"
