"[0.1973528395807425, -0.4842292443855206]","[-0.05220066842263037, -0.3882933673929642]","[0.3371607583212683, -0.3294035403265388]","[-0.2430234447090393, 0.02165115626317253]","[0.11705140858288328, -0.2761785241047796]","[0.2756412846806875, 0.007007102454381562]","[0.03551682194791252, 0.05243698260799547]"
"[-0.29401539939327365, -0.3696378117432748]","[-0.5302265851868985, -0.24943641500928135]","[-0.1555258528530752, -0.1150308258257402]","[0.015917679636155885, -0.5414162227038694]","[-0.09183929458383149, -0.33979615580481737]","[0.35063130958826355, -0.1681406735963635]","[0.1221708897835007, -0.331154948135398]"
"[-0.17570777699573703, 0.5206320592361813]","[-0.49898710123463336, -0.23793222991414825]","[0.10989270515603959, -0.1496894703386786]","[-0.23515843561025432, -0.028762996680141567]","[-0.2875727868572035, 0.19400910887402043]","[-0.04531716548882059, 0.11347072330918974]","[-0.15866977214448133, -0.27707505333292903]"
"[0.4442209341414706, -0.3407084798389175]","[-0.14804754046527938, -0.3225785621500209]","[0.006865710065401372, -0.09149943679777907]","[-0.42333200964878576, -0.3310614321130691]","[0.13079290613792358, -0.30028051865598604]","[-0.36870562570715815, -0.05298808608299983]","[0.23195968243431364, -0.04190021322089029]"
"[0.12441045489754526, -0.06501221249957828]","[0.5220082785454982, -0.2710725638445762]","[0.24010109926529, 0.29469369016023433]","[0.21037415836786733, -0.41997364341041593]","[-0.09529393077794664, 0.14138516001329388]","[-0.09624803514588239, -0.19040047222289416]","[0.3329113573937864, -0.007259807722023149]"
"[-0.47480584487915234, -0.05955752738918398]","[-0.3005751265804693, -0.23853114785165222]","[0.1595199252554452, 0.10945438910216854]","[-0.28472124560209583, 0.25321106298063717]","[-0.13823684989073226, -0.3992475344124438]","[-0.0622027149057516, -0.12269338000415358]","[-0.260851746476967, -0.008819217832103784]"
"[-0.4134221411220913, 0.1660715860277211]","[0.24741518256725184, 0.3146402735375882]","[0.0004899084479292845, 0.06288573597602753]","[-0.026795947421314237, 0.2822528732014448]","[0.29009911096485086, -0.16920683818528462]","[0.2763284069484498, 0.06707334065961237]","[-0.1857792663627714, 0.4891866174011071]"
"[0.24800326740486728, -0.04603620074370439]","[-0.10572119306140722, 0.5088024367546906]","[0.4489572004431636, 0.23403471809519028]","[-0.3370938172016248, 0.43387464039864987]","[-0.026776380625278717, 0.08653543004785143]","[0.07801284467039221, 0.3106024616219284]","[-0.13192731759139895, 0.2972062811248824]"
"[0.291929256272362, 0.27500488996256406]","[-0.011211249523231962, 0.31777694007852914]","[0.11184204911503325, 0.13056442871306337]","[0.573118878352462, -0.002724825701413707]","[0.0640871355866137, -0.18496167454940848]","[0.5140613235869513, 0.20012023632911852]","[0.29911640481270585, 0.01621281549205985]"
"[-0.08933356321768943, -0.09423220716250683]","[-0.11746253679263166, 0.48798247755753926]","[0.1881364062478677, 0.018052045210359195]","[-0.0664124874137617, 0.14799725239122086]","[0.13186955198659972, 0.2496344223371409]","[0.46493625672911393, 0.26450332481243516]","[0.10271605178107891, -0.28063276449832036]"
"[0.11110862485464275, -0.46260808001997694]","[-0.08675681012368122, -0.13138054456518442]","[-0.45545586531756166, -0.21978139190364465]","[-0.005372501043736358, 0.07759981602671853]","[-0.5561572901303394, 0.13038448335587147]","[-0.2528158937188365, -0.2998888022245777]","[-0.25782581905973395, -0.025716047005727532]"
"[-0.03006084373608103, 0.4852703642968691]","[-0.11038416500228959, -0.11792810746058535]","[-0.16998462457610153, -0.3667103229616121]","[0.03590349107711694, 0.026297271640356317]","[0.03553767220481743, -0.31897649277468193]","[0.45035142473709777, -0.16737675963216783]","[0.0853967996304488, 0.2647400809998738]"
"[0.06953617589216883, -0.4901269631308575]","[-0.24261255477033528, 0.09711488604390095]","[-0.2789008568573862, -0.17592010113302142]","[-0.32385758179460594, -0.44206745119340496]","[-0.1251253179015742, -0.37575378797501646]","[-0.058819626040637736, -0.13113740070430843]","[0.18609429931705332, -0.15665835530115627]"
"[-0.05136558231304849, -0.31679596350985895]","[0.39525730402996484, -0.2814586425634665]","[0.3531827888758716, 0.10233909961834292]","[0.21887598685002135, -0.09057972617421849]","[-0.1871927939284788, -0.535652103236903]","[-0.23972709296557287, -0.1775335731662078]","[0.12053964177448266, -0.4350264783942426]"
"[0.33083677875403317, -0.1311829776927167]","[-0.03625782940982432, 0.23134521567757738]","[0.24600795711477666, 0.43640554039200885]","[0.032883116144417045, -0.01180918292637249]","[0.5573245908706027, -0.04352816261333878]","[0.1948478422855565, 0.19683323911333356]","[0.49810406583617267, 0.21076333293191996]"
"[-0.09549876069701108, -0.3083120395309399]","[-0.5253959865689803, -0.1886267149444763]","[-0.08051500261253781, -0.5416653845717069]","[0.1378934145510951, -0.18893834542273186]","[-0.3016407871976137, -0.4988310857024863]","[-0.013751876106324794, 0.03587704113699242]","[-0.29730662571203204, -0.1599740262538808]"
"[0.3505124625413631, -0.179575553697906]","[0.32275768427542206, 0.10402756640325521]","[-0.06060608495859822, -0.244024221093359]","[-0.32360805107688584, -0.3691465036588477]","[0.04173606011313189, -0.5085743369061227]","[-0.22444769106910645, 0.17886565435870758]","[-0.30858784283177054, -0.0327927776348797]"
"[-0.175458460838541, -0.10356524745376247]","[-0.2919269034698325, -0.27888361374199366]","[0.28853655263261285, -0.4540335731909721]","[-0.0035852664160125353, 0.06784596739844848]","[-0.15576648240166868, -0.479790980929796]","[-0.4100352920981825, 0.006317212786578209]","[0.13774331217808916, -0.23323334848041924]"
"[0.08221555651803299, -0.4171709982607312]","[-0.2013556474567885, -0.30778773520242536]","[-0.3526861802884039, -0.10253938994566901]","[-0.30329848833926754, -0.49277712332791795]","[-0.033549535039828056, 0.021196858549408705]","[0.1681396060057221, -0.1738279591665034]","[-0.46132853791878625, -0.3474055651230505]"
"[-0.13350637363940515, -0.06251045387226076]","[0.1033604345160396, 0.4661482987739701]","[0.474662745782668, 0.03384627994022553]","[0.20437238034161886, 0.25389401961298386]","[0.10048460283396796, 0.02643674864567369]","[-0.09032432890234272, 0.3733480695821937]","[-0.1772413282454086, 0.14231248473634103]"
"[0.038532150355520114, 0.1148240216805445]","[0.3921417568066736, 0.19151912079668304]","[0.421575539817126, -0.1505568501649262]","[-0.24294021086205952, -0.13841566193906307]","[0.06895930156565581, -0.37499322846514976]","[0.28181792790953036, -0.3079601277408238]","[0.12915812979335614, -0.06980932802788041]"
"[0.43729092260444474, -0.11900661590066612]","[-0.03666925380589783, 0.21933613004909083]","[-0.2579652889967844, -0.03153739014493966]","[-0.2813058813260491, -0.3372120343667917]","[0.2536614471289145, -0.2406981539349765]","[-0.09014708699481618, -0.19881964261863078]","[-0.04825708274559445, 0.015104899929686154]"
"[-0.07077154252950191, -0.07390051288180662]","[0.1359816386931822, -0.05343772618908998]","[-0.07169521798789327, 0.37684964813862504]","[-0.27586746969402887, 0.35262726504576963]","[-0.4425708925407127, 0.05240212631788557]","[0.11755046922320933, 0.2157866745112025]","[-0.12821194206556422, 0.17059744691995404]"
"[-0.24337048284227455, 0.09262891612357353]","[-0.4179518146225744, -0.18088366000999848]","[-0.36539260156212794, 0.3979198504293323]","[0.036553264525145526, 0.30695325820698766]","[0.012362992407845004, 0.08094465843629765]","[-0.49143183573274024, 0.15122910857888985]","[-0.1322398346926639, -0.11445343083513052]"
"[-0.32419629175887305, 0.48348640381752633]","[-0.43617509647046115, -0.18466030207582174]","[-0.10453285950514038, 0.3628537704036239]","[-0.027082272792750862, -0.03594941079476367]","[-0.5073480208083933, 0.03922389554531061]","[-0.41362539907424156, 0.2581893541426255]","[-0.1326539878359853, 0.14914048733037358]"
"[-0.14691073475024316, -0.1240076078750338]","[0.2567309729940821, -0.3553129133324078]","[0.3171353171954112, 0.038866711544932465]","[0.4929340397987105, -0.24783898370358382]","[-0.08244111160321695, 0.19216376311382727]","[0.014646844227277878, -0.3410486223215291]","[0.12912843743134256, -0.04800097759883588]"
"[-0.5293462303251887, -0.05727033731274677]","[0.16706496153980874, -0.03851244059499327]","[-0.2542980000885062, 0.12041106427383211]","[-0.2917993649804062, -0.20868196015958143]","[-0.04957451160413964, 0.2920068240958342]","[0.012854052070361324, -0.29654260262003546]","[-0.1510534751435898, -0.051941695329963386]"
"[0.04686422259994175, 0.11091919346235761]","[-0.10379975848958047, -0.11441350735610034]","[-0.29751545550053193, -0.43669710962022246]","[-0.28010441553824855, 0.2206654353558517]","[0.18704439678709692, -0.21473589919271563]","[0.19417830840220207, 0.30108523055133574]","[0.3793669980851862, -0.07242368991640721]"
"[-0.06302158837209816, -0.3555030834009109]","[0.31207145170079664, -0.1824845494037874]","[-0.24818733449705724, -0.0182687829501855]","[-0.42945560196079374, -0.1321090429666306]","[-0.18449342988682652, 0.5019942708354032]","[0.2883161425591835, 0.40028583063134165]","[-0.4966417600348138, 0.20765920191324636]"
"[-0.38023892854866254, 0.3068276184577004]","[-0.045155916826068926, 0.5228279017645588]","[0.250135855724167, 0.3399852994001612]","[0.1479113505200459, 0.05395971930983337]","[-0.2088250950426244, 0.016897613839683932]","[-0.009407367928967956, -0.23686643019736445]","[-0.07930139155349004, 0.17001688831511652]"
"[-0.1600466437805588, 0.373234882075528]","[-0.13398366909773246, -0.1396540518134317]","[-0.5617385025108145, 0.16490507781366298]","[-0.16340310723636525, -0.35811734276929763]","[-0.1922708367512548, 0.056848483610015314]","[-0.32713637135888546, 0.25144975051173946]","[-0.5535781680676302, -0.06065027435545614]"
"[0.2983823843373225, -0.44140338399974705]","[0.358375017288563, -0.0931183597418457]","[-0.035965302817855635, -0.31378879763073625]","[-0.14752557795271207, 0.021493159211301956]","[-0.23882144206574238, -0.27546811364971674]","[-0.48147242799536993, -0.32267572353879087]","[0.014539546350952953, -0.10454557507758168]"
"[0.2225936744274431, -0.22325592977347172]","[-0.12493057923901514, 0.09874765938112384]","[-0.2449070983186653, -0.4333111773933729]","[-0.17947688785056848, -0.14684566873520083]","[0.27535818895334685, 0.04723438182822702]","[0.02978657653129235, -0.09092805737786983]","[0.2796318176624314, 0.2557215304088391]"
"[0.5409688423723296, 0.231279120025308]","[0.05422353444308861, -0.2947422325737555]","[0.08240507398656688, 0.24824157975354216]","[0.49512774778448204, -0.20980090147932165]","[-0.07612231457609168, -0.14076460147893294]","[0.24640902967447678, -0.07785879453629983]","[0.3996481694301638, 0.05583811676886939]"
"[-0.002767926537004785, 0.020219761716211947]","[0.0035679856536340888, -0.3168590647474674]","[0.13050915869362165, -0.16157725176605942]","[-0.14893964549522956, -0.4761913046367335]","[-0.2584153772650223, 0.24807724439591647]","[-0.49099743499405174, -0.17835769977685884]","[-0.15133582921317892, -0.13595453698252102]"
"[-0.5675561850073736, -0.1358837926551696]","[-0.24602629135498813, -0.09931080581975933]","[-0.06918002335567512, -0.24479820098198063]","[-0.22755262504259632, -0.41681472473231385]","[0.11010886427437451, -0.05045383361046028]","[-0.30421979098539664, 0.2792664076764513]","[-0.41478697474217485, -0.2798479975963045]"
"[0.09265610945631925, 0.018857479270013928]","[0.3462803886305066, 0.07342702763648766]","[0.516822700363971, -0.11232990599934423]","[-0.2270445677976004, -0.13776035172087167]","[-0.006324466148560476, 0.3173585216536246]","[0.1942980894555894, -0.16245807920884217]","[-0.24857055910702922, 0.29007233243928826]"
"[-0.22991256621429493, -0.3337978069475385]","[-0.27253626781272944, 0.14974458442224825]","[0.03953935545211418, -0.08264287992466642]","[-0.21764835438888028, -0.07213673470031567]","[-0.4399860807788607, -0.020151896220298025]","[0.18386259275711023, 0.2295910592948418]","[-0.023180429757856398, 0.27422046936756866]"
"[0.47717844880703886, -0.10027409467184388]","[0.19605889209153074, -0.11483115609960905]","[0.028595813900349296, -0.45153236989821527]","[-0.14327779357169457, 0.0279601911035448]","[-0.06647993725598837, -0.19664540778896092]","[0.30482533292314423, -0.3490050344220298]","[-0.3034759662495772, -0.29101057653899076]"
"[-0.09318768690177359, -0.46113405965100807]","[0.31909389249994297, 0.12131931608046174]","[-0.3120760305840537, -0.15919125525041264]","[0.01679092155180389, 0.05551259192244434]","[-0.22892225393878068, 0.22477597199778449]","[0.2416115070820034, -0.19676539431468856]","[0.033189516238042206, -0.16766811271820414]"
