"[-0.24633138081718414, 0.06527103999579423]","[-0.45391284063068227, 0.06563970498564169]","[-0.35793514551074423, -0.1266056660027965]"
"[0.2770644989828016, 0.48613610631530974]","[0.1166160230435862, 0.3179268409945979]","[0.07574078992668241, 0.5201776618310812]"
"[0.4460132956115465, -0.18970603955164253]","[0.21469079446203165, -0.05994188981791241]","[0.43039165603646373, 0.021327150135698185]"
"[0.37346698482737106, 0.3949709858129711]","[0.48861675659137627, 0.20262906195840147]","[0.274336142362124, 0.21636824612264544]"
"[0.537987158095123, -0.12692832285013178]","[0.3868714793331721, -0.27368640432363617]","[0.3095164614289888, -0.03886958344943882]"
"[0.45822763238210656, 0.17725561389284833]","[0.28708097674948313, 0.011031004868864889]","[0.482185294460805, -0.04816497947856068]"
"[-0.05607465343801929, -0.5098774227447959]","[0.05482833281404809, -0.30097786453441133]","[0.149840293112898, -0.48760922307416554]"
"[0.24337926489226647, 0.18186129167682089]","[0.20221774468395226, 0.3799983958281674]","[0.035040081368814334, 0.19358477167811364]"
"[0.3269793931782352, 0.25790927867597546]","[0.5278555853809875, 0.18176108816696276]","[0.36740361645867625, 0.054002156714525566]"
"[-0.16671891033764255, -0.008258233763759473]","[-0.10656711343908881, -0.21829515475914968]","[0.04989279545136205, -0.09059651410230254]"
"[-0.512212677422972, 0.15765101733640335]","[-0.4457837465548181, -0.04110274616149178]","[-0.2680884468108182, 0.12030092604277277]"
"[-0.39652607864232575, 0.04200347479019071]","[-0.22159232792355665, -0.07059869163407226]","[-0.3932340156697098, -0.20470278051956323]"
"[0.2904391050772809, 0.14633329762558972]","[0.23011532230280024, -0.05044211975937603]","[0.08408587045229352, 0.11363035265608702]"
"[-0.27719414768534284, -0.43351062798581586]","[-0.17189644735318763, -0.2573399373539094]","[-0.38258112454250254, -0.22099525290370345]"
"[0.23325336447292538, -0.3233084065889492]","[0.3731769562358927, -0.16213068646889706]","[0.43219213833243797, -0.37393864096659685]"
"[-0.4757662425218015, -0.2943286415796015]","[-0.29290197810601365, -0.18343157778840577]","[-0.3079931129808523, -0.4284003316673715]"
"[0.18117690413805598, -0.4825499366665225]","[0.08704913547452942, -0.2922910304548291]","[0.2894232150863601, -0.31406520750538136]"
"[-0.27842364584357293, -0.20894418873698353]","[-0.4568499671198801, -0.3536169276366982]","[-0.4804088987098016, -0.11861075389972923]"
"[-0.13937145074057766, 0.4822745426973993]","[-0.12196861244293772, 0.2624704898621197]","[-0.32315538873573, 0.35319209645969796]"
"[0.12434170762566611, 0.22420640207351014]","[0.028519512765107315, 0.025566207652374117]","[0.2264926761217649, -0.0234520033102605]"
"[0.4428834154469645, -0.11151041327790792]","[0.27218283334201615, -0.00030770563302992744]","[0.4539682743458737, 0.09799546947641771]"
"[0.40818899025224287, -0.34361268693559444]","[0.5320646398984237, -0.14347472714337106]","[0.3240578440600218, -0.10876759086293569]"
"[0.3705122501401266, -0.1492497673703922]","[0.2353692855838137, -0.31251211752888847]","[0.10167569926593356, -0.1613035880045547]"
"[-0.17222517381451397, -0.31010053895611145]","[-0.12139323288510395, -0.5054056125020869]","[-0.3210998449640706, -0.47821129440101084]"
"[-0.3178600664160953, -0.26875505105822867]","[-0.24668580246189684, -0.07977866016002362]","[-0.10668721741135358, -0.23058084871792012]"
"[0.010411847609080038, -0.5811569427388324]","[-0.21799717688485437, -0.501718006818609]","[-0.05082739265215378, -0.35241245516545083]"
"[-0.23918688936184326, 0.09115098090405305]","[-0.08755255398876981, -0.10528885949628938]","[-0.2923841103613337, -0.10323735674363892]"
"[0.058285469994974234, 0.32693735510796096]","[-0.08096082311658231, 0.5520904056050616]","[0.1207096288274015, 0.527376258103567]"
"[-0.14315434405990063, 0.4515577895009122]","[0.0025883812541269437, 0.30147900459932586]","[-0.16351156525510388, 0.17136624692591454]"
"[0.42454005110513293, -0.23620195148053516]","[0.22465083157252816, -0.2580619125104429]","[0.26650015142626665, -0.06116705823373374]"
"[0.34284791211640386, -0.008399459214910778]","[0.25500040508575406, 0.18684179787088817]","[0.12453028488952794, 0.02363362058925216]"
"[-0.155264271233265, 0.3562080889222656]","[0.006928023110141953, 0.2356894766689291]","[-0.2953614529012482, 0.1879215303057945]"
"[0.08288959814407881, -0.36063289054063896]","[0.1195097232300101, -0.5736611859731345]","[-0.10767254781457372, -0.47812520467394853]"
"[-0.17995977976610233, -0.18643006590275207]","[-0.23731321593964272, -0.38040078893396384]","[0.0027673952578530212, -0.3678027224683891]"
"[0.41556451498741265, -0.2805774120498895]","[0.3093135943529214, -0.033664157596896734]","[0.20153607210683044, -0.2369830450195826]"
