"[0.3641111813946223, 0.1844854434553373]","[0.06063962076844718, 0.11912912842836135]","[-0.4060818161486736, 0.19252366389194914]","[0.07389735993860481, 0.33639224494773684]","[0.12012042680352192, -0.09691460883870613]","[0.05304380601401398, 0.5749057650905544]","[-0.1376727474801534, 0.2936877692265737]","[-0.13192076215063786, -0.0144419079485626]"
"[-0.09303308891103484, 0.3814438425462443]","[-0.14836094017528417, -0.1240131782731614]","[0.21579498503896358, 0.39861630007826476]","[-0.3869212331096515, 0.4376833570599107]","[-0.2675997988144073, 0.22576025156237448]","[0.3337022460332124, 0.20467317773668067]","[0.1029346424525758, 0.20404283963892203]","[-0.04953656701622321, 0.07049796923383626]"
"[0.23171423813603703, -0.20495620366272865]","[-0.0748999135768438, 0.10864632577983944]","[-0.14294515841668295, -0.4812883104583216]","[0.43274077597810673, -0.18271147860733028]","[-0.25648426378094874, -0.0451524483817586]","[0.09290129246733833, -0.01576372125300782]","[0.14948792324580978, -0.547400693618681]","[-0.0485237414325875, -0.22475650964562657]"
"[0.3071906419615556, 0.393949973838977]","[0.20508752543318645, -0.02462932537822006]","[0.02983460465221893, 0.45794741628090113]","[0.2682231677223661, 0.19253046296903115]","[-0.19841528706654388, 0.2571937062454635]","[-0.3711639081153814, -0.08420760473148313]","[-0.053701560744814254, 0.02627105890986768]","[0.05642630687288047, 0.20869756576617735]"
"[0.09261795708196646, -0.19681134794305938]","[0.11528648363808168, -0.49070681193058086]","[0.22524208788161426, 0.09080965276180443]","[0.3882224814767529, -0.41664429895194693]","[-0.22668125467281697, -0.05507956738415344]","[-0.2192769813453022, -0.2905082011103234]","[-0.04464198014136886, 0.08471375791161201]","[0.32632010117701105, -0.18383634965773554]"
"[-0.35881915841100337, -0.06868077544176843]","[0.05698492477087598, -0.21190291893609337]","[0.05460239739604787, 0.20879370348546372]","[0.3121173213413664, -0.3300541556955641]","[0.14869245801505201, -0.006845360871629599]","[-0.042129957778596, -0.4007981857826155]","[0.32972263198824225, -0.11066123974477005]","[0.15954260865841072, -0.4598493563974361]"
"[0.31055226885340315, -0.045734606859248406]","[-0.023018048309068995, -0.28842801731143414]","[-0.40827453796878216, -0.11261866769906403]","[-0.24245437836515668, 0.1135003487044054]","[0.009724130314488696, 0.06418059402984147]","[-0.2461320702861414, -0.43138473429586]","[0.2280677501932186, -0.339127275685722]","[-0.20836653311831077, -0.17373779460879613]"
"[-0.4509082990588173, 0.29353966015850935]","[0.2883347212976929, 0.2119536014863901]","[0.20231059149655656, 0.4473379106972075]","[-0.237729693785741, -0.005061707405983472]","[0.0177131801587774, 0.3631124327804463]","[-0.19304494159848554, 0.23957843563161224]","[-0.22943123355981113, 0.490066495625879]","[-0.014111002501788024, 0.06173866990576296]"
"[-0.16884634593186426, 0.07813931158034194]","[0.31345576996971486, -0.32106531020495993]","[0.33237415826639405, -0.10139907975163961]","[0.2941631914114086, 0.44286428161287944]","[-0.012157370863952646, 0.23628639160053033]","[0.06486848497765717, 0.021557537086315054]","[0.20545959676722392, 0.2240388305501362]","[0.5072794370525943, 0.13039867470943292]"
"[0.31425747843592533, -0.19525394570050383]","[0.35651917729939747, 0.1868776647143495]","[0.5174631537154286, 0.02145448638195528]","[0.3270427553397831, 0.44681494440066927]","[0.04990131927737171, 0.5242204450897028]","[0.21026987217354365, 0.042302744568014916]","[0.07822911596499582, 0.23136757787749074]","[-0.040657280717884964, -0.021347428382324393]"
"[0.2642249738207504, -0.007399909853157973]","[0.001132992687230078, 0.014296064855747902]","[-0.18891323578856212, 0.09645992728974319]","[-0.3575830420737137, 0.4020379206861838]","[0.11152220432712488, 0.21844678301795115]","[-0.06732102109389061, 0.3137496056797329]","[0.1760467694132645, 0.45350535029971933]","[0.15955337369179923, -0.2855216824459267]"
"[-0.40439154239469755, 0.3261671744444849]","[-0.16713864076454663, 0.4239049208162408]","[-0.08019518329689934, -0.10621675793024796]","[-0.013665344205187563, 0.1060734334911939]","[-0.21073310851462024, 0.14920392299276786]","[-0.4958425863329264, 0.1334235989414843]","[-0.3882279907091148, -0.03958267054969154]","[-0.1410651833553647, -0.4346890329071207]"
"[-0.056147872130571146, 0.2851557590496139]","[-0.23735613439542702, -0.39333993905639925]","[-0.1885614104048024, -0.13424201531771468]","[0.0765496086726518, 0.05306024531502598]","[-0.4118792307784794, -0.18833201058772464]","[0.22304617873270574, -0.2024964824393365]","[-0.22595782678472723, 0.06618820877166924]","[0.003384653361281093, -0.23672854489610046]"
"[0.25123443781770877, -0.32723303246284025]","[-0.3685805059956605, 0.013807880652200974]","[-0.3664217937185025, -0.41004658534036487]","[-0.10255983412014308, -0.40232794345932804]","[-0.08405317413937925, 0.10299586406574829]","[0.10364268323223383, -0.05072815952000702]","[-0.1756985906403103, -0.11898663984760058]","[0.04312431178218249, -0.26202660182044485]"
"[-0.20371100391721744, -0.08086243886012266]","[0.00012893906419700037, 0.041455396465505]","[0.010582434153485469, -0.4709019535773909]","[-0.47925409130447605, -0.027467542957721185]","[-0.09907616438893929, -0.29387492540372206]","[0.3213191492181205, -0.12354082179098236]","[-0.19218854645168904, 0.14646520479853148]","[-0.2664210176695336, -0.44224982692137244]"
"[0.20511880940530558, -0.5397959658403365]","[-0.250676561607211, -0.33251998509004865]","[0.34903967419301324, -0.16143700848309722]","[0.31225336046077046, 0.11696986347470655]","[0.004463465453032814, 0.10639539798240603]","[0.21950922767171183, -0.32831541849016144]","[-0.060820460130348676, -0.16974579977296556]","[-0.002767633945552029, -0.3775117666483437]"
"[0.40903112719802037, -0.26126485388064274]","[-0.25760065079594296, -0.07100204397316098]","[-0.05493724557330841, -0.24023029002064095]","[0.13549588284050298, 0.11066676888250156]","[-0.0257237202119047, -0.021324108286345986]","[0.12469645319705565, 0.3108042441835639]","[0.4914281427235785, 0.10888964674993822]","[0.21846710501611874, -0.1295631749118851]"
"[0.06977734656602787, -0.029069393298653653]","[0.29951000895039187, 0.144902278389545]","[0.2563114078285169, 0.34203800867134204]","[0.5304504581501112, -0.040038882976312494]","[0.4598365099885668, -0.3667130571215738]","[0.2847333170042651, -0.0855583640059002]","[0.1774077474846258, -0.3023655225140888]","[-0.05513970676929683, -0.26922254079567365]"
"[-0.36709491590082355, 0.20957757613340233]","[0.25384425535145383, 0.18976567680615822]","[-0.3083556881041488, 0.011484938754879059]","[-0.16187326084428758, 0.2804140494222106]","[-0.5622959415580532, 0.15610465073968716]","[-0.08422001343677805, 0.038248366614465124]","[-0.04674581342913033, 0.5128856399831536]","[-0.2510904824773912, 0.47904351068955275]"
"[0.35661503052636184, -0.3042733653705538]","[0.23291022780773124, -0.13699726380437355]","[0.1511350550505335, -0.3303001989266132]","[0.07168532408414865, 0.12872589122215164]","[-0.2148382493508253, -0.22824769569256867]","[-0.1400472495015097, 0.2272758592659326]","[0.010852974427408115, -0.1375565989811433]","[0.4203261245119184, -0.017872604151022695]"
"[0.2533848321818245, 0.08936179792883182]","[0.26252146719842123, -0.3332995743763013]","[-0.1780109206093812, 0.18196846047090423]","[-0.41525039118325446, -0.2925176646033433]","[-0.20632799247645645, -0.10670546442595692]","[0.020954062065750765, 0.3713512044881735]","[-0.4436199005620444, 0.15228931134308815]","[-0.0058618805788320525, -0.06004088944499731]"
"[-0.2044778554949396, -0.12612200668209983]","[-0.041539642596659744, 0.002958070182740923]","[-0.5123430851252112, 0.026497327715414267]","[0.24752509791774743, -0.14745698466460946]","[0.019497206356073802, 0.2625501641977683]","[-0.2056536111272641, 0.14272158008532773]","[-0.05488581766487508, -0.3020151863728406]","[-0.3924018609882996, -0.2013558797334546]"
"[-0.2889459881601466, -0.4344232793589797]","[0.07075600175337052, -0.19708593906672256]","[-0.15617062384662472, 0.2589053621677644]","[-0.21427312074852373, 0.04012533669281226]","[0.003267526293798254, 0.031552636357907546]","[-0.5359081178262193, 0.20988668867833946]","[-0.1360031640927113, -0.14406004235903286]","[-0.5263550509100012, -0.06271753650984276]"
"[-0.20178463475535127, -0.19730084886200916]","[-0.2109316330362424, -0.538991687916035]","[-0.0022247592199826616, -0.042121084434506614]","[-0.3778409233310648, -0.3017731383485378]","[-0.23590957421595296, 0.06311868346213483]","[-0.5312380581437882, -0.10508242325786635]","[0.19168554417737335, -0.2344394972301422]","[0.0041536266348318205, -0.4745854590362801]"
"[-0.0013784721409155396, 0.004683583441168849]","[0.1578634193291129, 0.4593287718856512]","[0.5259131504511461, 0.016256643439277813]","[0.28905417875772116, -0.16625469317129446]","[-0.18502003621405835, 0.1782599740892715]","[0.38711655083449004, 0.21290560057576022]","[0.24248454257227944, 0.04269486395555482]","[0.13828226888749282, 0.23496415441692298]"
"[-0.41399865259898344, -0.39106301435273466]","[0.09954118358781838, 0.11557194597193499]","[-0.15981127514222782, -0.5340813245345727]","[-0.1307504781054562, -0.012875959078281337]","[-0.4122932435323825, 0.07078003177335049]","[0.05560241346008847, -0.3693855434954551]","[-0.14818000844416102, -0.23362878625815217]","[0.09658428992063237, -0.16244339580756706]"
"[-0.19001550266982734, -0.09332808869098094]","[0.357833964282948, 0.13793976650933312]","[0.533852700652201, -0.02729365913913096]","[-0.04755382838980103, 0.0829144622279132]","[0.3353167746258079, -0.10749089996905993]","[0.4165932567509177, -0.377783913151971]","[0.10136275254398135, -0.21787669683960686]","[0.16691269659715635, 0.06321729194661149]"
"[0.057734479804216386, -0.4221813287690893]","[0.32927318877408424, 0.05281369926414688]","[0.26352679213095437, -0.2489030917607636]","[-0.0399500979687818, 0.05987847080585677]","[0.05697525226287565, -0.12374624789511454]","[-0.07287696658763375, 0.2588767487057038]","[-0.20967461998749706, -0.17987262906440493]","[0.17965284509269838, 0.2015588555458846]"
"[-0.22721754047964543, 0.01727025728781293]","[-0.05167455243585437, 0.21479748452435862]","[-0.16288760043068753, -0.2658596219034734]","[0.02138726120564089, -0.07683339858419515]","[-0.4237056697897172, -0.04579789215109496]","[-0.3278558056717936, 0.35472755080552365]","[0.14107465640397673, 0.3743583847030622]","[0.1911375868076838, 0.03921840254555803]"
"[0.4362594467195373, 0.08662973031829782]","[-0.08696665346939711, -0.09368508778921461]","[0.16767994162413866, -0.17228566840787296]","[0.0740593310402696, 0.06624551961684627]","[-0.2110900414657804, -0.356398722792696]","[-0.010933062561795805, -0.36227578348751865]","[0.3817995747409032, -0.20214320899316157]","[-0.12809580564322462, 0.11973066918482578]"
"[0.5399090461731536, 0.0011359610903285196]","[0.21921364315857872, -0.20727842835605695]","[-0.04702891122668581, 0.21315913724785504]","[0.3209030469109341, 0.21948335471435704]","[0.006313041552858791, -0.02539295449447957]","[-0.07166449774925855, 0.440792544378194]","[0.3741326569799019, 0.41672426465989576]","[0.30892122502484964, 0.015039129194336387]"
"[-0.13615689492887773, 0.02223501688526684]","[-0.418804030167803, 0.07583376106663786]","[-0.23683251618048543, -0.23865554856950022]","[0.06551627346541163, 0.004494102668850044]","[0.26208946242655995, 0.06344161659732318]","[-0.416043423198709, 0.40877497397538437]","[0.10834272597999738, 0.21866634082466474]","[-0.20797208722182128, 0.22992157683888279]"
"[0.4935893654569733, 0.28496466494510275]","[0.3603949833516067, -0.30556962756475264]","[0.18007182109785413, 0.04010970714666237]","[-0.10954242276847044, 0.12962880154374917]","[0.42308451908948663, 0.004571265554103394]","[0.17637795688429603, -0.1851848947843214]","[0.27769777245374166, 0.28165518337482726]","[0.0399669995463599, 0.35242148877961416]"
"[0.12153333282616201, -0.18332662998443422]","[-0.04866088858846386, -0.3554665264948634]","[0.18849176013427435, -0.407920079883047]","[-0.03458819991293029, 0.19591368497666187]","[0.28274158369697916, 0.03960051362207529]","[-0.009712209535123521, -0.012770285684434246]","[0.487125286143486, -0.18099353168441673]","[-0.2814750327092452, -0.14937668357105605]"
"[-0.37477476219456846, -0.25535933586398507]","[-0.08774892832197072, -0.3914037222608732]","[0.15795386976223155, -0.04230651598412194]","[-0.40062620222462564, -0.01793283354741725]","[-0.16921283496050366, -0.14437131681589774]","[0.11545747254456111, -0.306720888419279]","[0.10225496389120235, -0.5083935477186713]","[-0.12014639737285028, 0.1390290938480549]"
"[0.19912625166412104, 0.3941823903632939]","[-0.17730129521464957, 0.059788435259241886]","[-0.3801490047239462, 0.2233764846215784]","[-0.35741831523549833, 0.4672102587458014]","[-0.03776412788599849, 0.4479272891607392]","[0.3419869133189051, 0.1536851761005669]","[0.03583899665940262, 0.06818321826823087]","[-0.05449398691014176, 0.24667869780937107]"
"[-0.06928376708108426, 0.23985879707357421]","[-0.01629377100833444, -0.2595500569685346]","[-0.5241706588498998, -0.06118813721115639]","[-0.23669245255938068, 0.39638269221072614]","[-0.17487157218127544, 0.06409977317736494]","[-0.20770723787712508, -0.1626877030156359]","[-0.4724438639557335, -0.322932575629251]","[-0.4016477275542632, 0.10229506334355461]"
"[-0.3547708731879735, -0.14194199391066284]","[-0.022784330180693934, 0.35439299052719914]","[0.3949293846839436, 0.2188896727653771]","[-0.23794001171950713, 0.20626781339361255]","[0.005365438668854642, -0.1294813524695449]","[-0.15581991355368374, -0.3022108288651221]","[-0.18062250335836094, -0.02606274517514593]","[0.003948431686933246, 0.1286120866618227]"
"[0.5342885187238187, -0.24657905879238182]","[-0.1055560637762332, -0.060579321782491126]","[0.17545912825310914, -0.36605746517063315]","[0.3155987637499654, -0.21527631669646102]","[0.5051849666595445, -0.03952677344267088]","[-0.10353805893530324, -0.4917302427996895]","[0.2842184124306637, 0.059675647904376544]","[0.10202248259020331, -0.06554062284529993]"
"[0.09309740034786244, 0.2577538472127093]","[0.3871494032767585, 0.35303554159073375]","[0.13949266510464414, 0.48702611306662413]","[-0.03498075780720374, 0.08535109276101768]","[0.12414473047645365, -0.06624406373501814]","[-0.22325692273783124, 0.36459101583654796]","[0.34129940032779427, 0.14284369657673157]","[-0.3792616653216112, 0.15988201190629128]"
