"[-0.22033711880637996, 0.09741644049564854]","[-0.19263570333490065, 0.32701050235149687]","[0.03819779130008111, 0.35087282021165406]","[-0.006319626974173734, 0.5775291438692741]","[-0.015822528655788096, 0.15655186188993186]"
"[-0.3657368636914852, 0.23045059863164244]","[-0.19993450810312682, 0.11595533788137374]","[-0.1654514521664989, 0.3192303610023974]","[-0.5664025635667395, 0.0889580536772837]","[-0.36364234261131734, 0.4539207091068945]"
"[0.3372349561888913, -0.4795219271776635]","[0.38026889219950644, -0.27703552529656383]","[0.2825382895842886, -0.0762985346936005]","[0.14140108298369453, -0.3397193754098788]","[0.15039979976355208, -0.5551279263418215]"
"[0.31215315402427246, 0.0846013613259295]","[0.4955255064544576, -0.08268226059849353]","[0.4338281874786238, -0.33089890331996347]","[0.12269732649258219, -0.2619085020767585]","[0.28885690573635464, -0.12467777959333727]"
"[-0.27559341671442533, 0.1447451212955017]","[-0.1462461596076021, -0.16834680517374903]","[-0.3624314764201241, -0.3177174293941741]","[-0.09259395510140735, 0.0301312303569575]","[-0.3749769689948368, -0.11207890663564958]"
"[0.27232566680237613, 0.1466350973318327]","[0.30666796599741974, -0.05984002734587167]","[0.48746277433401797, 0.0912042006111775]","[0.09115084988687489, -0.012399455645362953]","[0.28715637451922077, 0.34681232519256333]"
"[0.11693843013007672, -0.18509283248493932]","[0.2733870800382017, -0.3658167260229042]","[0.53292376406821, -0.01814707932487992]","[0.33123774248177684, -0.07615447618756771]","[0.46918398619182455, -0.31793624764753176]"
"[0.02758322648774476, 0.5520719132256945]","[-0.24880498754067124, 0.5202228766031607]","[-0.0022861543842804303, 0.14223769507450526]","[-0.049094952605815805, 0.3594060061783249]","[-0.22406113362684243, 0.2413223848639922]"
"[0.2797161066240247, 0.45920974337635234]","[0.17467854847481015, 0.2347007045131665]","[0.4371128435105332, 0.29434170247629743]","[0.05067774348114422, 0.4521186722816568]","[0.3113080468389156, 0.03612303614686271]"
"[0.08603006214005234, -0.2566831656286197]","[0.2558810274724259, -0.03822433014099417]","[-0.13325749152440483, 0.11003761636725747]","[-0.11103881071766604, -0.15130275936215254]","[0.03717390100137896, -0.012084411590261506]"
"[-0.492401705145827, -0.21206314912670257]","[-0.07115963422181168, -0.31094277845692037]","[-0.2517073954619574, -0.12977795876140746]","[-0.4111317056000852, -0.0018535108087561006]","[-0.282990439495087, -0.3978142528501003]"
"[-0.1992030791707855, -0.34074136685334405]","[-0.101401323889687, -0.1367672141955034]","[0.2667692703098501, -0.4057265023123172]","[0.1723329161266749, -0.19455637431070913]","[0.019788887696579754, -0.3675484859193576]"
"[0.1197196389583523, 0.45120109690204313]","[-0.07801304721973096, 0.15201438101316697]","[0.16029436442071254, 0.22419195650759202]","[-0.2938726575415202, 0.3149775993316564]","[-0.08621100455628661, 0.3571156031738572]"
"[-0.31691020068295533, -0.323817669637864]","[-0.46381419139261815, 0.0385474002766033]","[-0.23318823348529444, -0.12852158762791896]","[-0.47044821881423987, -0.1669867623871697]","[-0.10900791988485702, -0.31361983911263663]"
"[-0.17446877155066337, 0.06931980265172685]","[-0.3700889909450468, -0.33450827151250223]","[-0.4650234791796781, -0.1311386296892772]","[-0.24949269739565194, -0.15847648592857067]","[-0.42864262970897704, 0.06890572139666556]"
"[-0.15272598979334367, 0.49491326410014186]","[-0.2657145372167592, 0.27683030461066244]","[0.07870467854704244, 0.5458227913803093]","[-0.01850347343458245, 0.10342455582453498]","[-0.062318045182514055, 0.29925103447596174]"
"[-0.17563823432867098, 0.3535986299703451]","[0.24775599152130492, 0.4086352547722822]","[0.03922634380274672, 0.3110678552946064]","[-0.057111360036848545, 0.5421286816332904]","[-0.06048730800890901, 0.1248295452619554]"
"[-0.5089374536706162, 0.13316336852389055]","[-0.09995498594130929, 0.21763125633080796]","[-0.337795501414109, 0.33479494392246845]","[-0.27778207257525234, 0.11430425578156361]","[-0.3304560761029957, -0.0953004152833811]"
"[-0.1771045138471697, 0.5422516387432614]","[-0.27907514586562515, 0.3437446095240513]","[-0.04487723106536954, 0.3479356365995987]","[-0.10034986796784191, 0.13788253417219148]","[-0.3079333838126715, 0.1358661908598224]"
"[-0.008916958565712606, -0.4759807651041416]","[-0.10522538705520125, -0.18167278204851023]","[-0.20335792886165086, -0.3621040045769102]","[0.1223489638293553, -0.2619952549774382]","[0.13124948337777795, -0.03287623485043459]"
"[-0.38165747253555593, 0.09149902355242946]","[-0.561946489944649, -0.15781874140708949]","[-0.3592351488765359, -0.11859608063296448]","[-0.15171623814059818, -0.1853185292337568]","[-0.1092885088362383, 0.03225961992160347]"
"[-0.23492340652478275, 0.5159459997800403]","[0.07515671033487942, 0.13287798148765292]","[0.07557469488814836, 0.35443644241645234]","[-0.1526083486028648, 0.31878127082881774]","[-0.13796886373853065, 0.10019454956443657]"
"[0.27787107286924456, -0.38978788273251513]","[0.42652936438011535, -0.20419708012803506]","[0.033062252770194145, -0.37312364872568893]","[0.16968651601624382, -0.21206589599740774]","[-0.04727439454996346, -0.13738992131900166]"
"[-0.4752398923064901, -0.046203959784761495]","[-0.3251181745303024, 0.1015507637043005]","[-0.17686397736034226, -0.08787816808361383]","[-0.343138715499665, 0.3175398788143108]","[-0.5528460286657381, 0.19057783863126515]"
"[-0.0979704513043804, -0.42998223270717345]","[-0.23785904138498173, -0.0036517376619018844]","[-0.33185624589965973, -0.1847316418497719]","[0.0018835120236627067, -0.0341394473040923]","[-0.10037276552730778, -0.21471463601771906]"
"[0.21092743872116815, -0.4605477440266432]","[-0.1620518980912399, -0.19093383838891706]","[-0.21472289732113134, -0.4365863260791479]","[0.006209269598830849, -0.5457832962361512]","[0.048611311247695514, -0.3346740568497125]"
"[-0.02001528662111956, -0.09029171045049236]","[0.11323397820197555, -0.3176381522254098]","[-0.2935025142852055, -0.3838053970278886]","[-0.12017917427732455, -0.277122910526297]","[-0.030582491172916962, -0.462965211042861]"
"[-0.25323711490879475, 0.2366243621890471]","[-0.1756323411744195, 0.015318318208853057]","[-0.4113224115490873, -0.08019843696931829]","[-0.46186924233653104, 0.14125604281126153]","[-0.19986184925524142, -0.21235493675011957]"
"[0.20478645244412846, 0.040641874551057125]","[0.08970356012070013, 0.23723370386790496]","[0.10610850164876948, 0.4406737967086416]","[-0.05576032048574197, 0.051663509883384626]","[-0.12486605531474895, 0.24509599188783315]"
"[-0.3954895766532128, -0.4048139336580281]","[-0.25102344548967076, -0.24081045205901744]","[-0.1428778265527551, -0.4337724806208532]","[-0.39190611854199725, 0.016438790500250593]","[-0.4442998079733207, -0.18447623188762144]"
"[0.28815056099639275, -0.03751941098931975]","[0.5199975010865808, -0.13027649832306648]","[0.44410894792210054, 0.3102083719167422]","[0.2463817557805636, 0.18305419644676163]","[0.5357199221798696, 0.12074665182859627]"
"[0.14565076738690436, -0.346445292393161]","[-0.0698649592346443, -0.4518123525509894]","[-0.0658817715728087, -0.23816784843635225]","[0.13646056291019537, -0.08541246132131718]","[-0.17011611934208923, -0.05051862060216195]"
"[-0.3341647168455524, -0.3181772580656846]","[0.009330350618725225, -0.37877242926104293]","[0.007503258322714995, -0.16970371770827442]","[-0.00014047033904938293, -0.5867997518258401]","[-0.1865770661734548, -0.4576518734581431]"
"[0.24689495312793144, -0.30793132906417997]","[0.1835002320427905, 0.13499137517378934]","[0.33607001696440586, -0.10502889679273578]","[0.13272655069249473, -0.07792279519802331]","[0.5147271862766488, -0.011465754389125482]"
"[0.41650045072284103, -0.2912887946608769]","[-0.030762788862283612, -0.39890377985858627]","[0.18115859348370755, -0.3580787839354356]","[0.04070529907504028, -0.1613080512370334]","[0.2678648673355844, -0.14934391852190168]"
"[-0.2922289285901887, 0.15159928833313752]","[-0.49150152148784537, 0.2533935555374107]","[-0.4357814864800509, 0.008946839963924494]","[-0.15009602530877397, 0.30041051444090944]","[-0.2520849290563844, -0.07898092667943159]"
"[0.07773746594330118, -0.4784787732931919]","[0.24586509618416655, -0.339450407609512]","[-0.11472263900240336, -0.34892757811689157]","[0.23531838614937345, -0.0919218676719914]","[0.028562507844484872, -0.17267223940127416]"
"[-0.21562532648278593, 0.26005093096088805]","[-0.43853391462311686, 0.32510597274694814]","[-0.26779916666412323, 0.4653300381283072]","[-0.013185134300575541, 0.4433399668294661]","[-0.019821026916550886, 0.16460492154459258]"
